,final_address,district,lowZone_value,lowZone_npsf_min,lowZone_nfa_min,midZone_value,midZone_npsf_min,midZone_nfa_min,highZone_value,highZone_npsf_max,highZone_nfa_max,oneSixth_floor,middle_floor,fifthSixth_floor,unit_list,value_avg,npsf_avg,unitSize_avg,noStorey,noFlat,op_date,bldgAge,est_name_en,est_name_ch,est_orNot,est_bldgNo,est_flatNo,final_coords,lat,long
0,"WINFAIR BLDG,YUK WAH CRES|永發大廈,毓華里",KSPK,3676080.0,13295.0,265,3660180.0000000005,13416.0,265,3981095.0,15023.0,280,6.0,12.0,18.0,"['1', '2', '3', '4', '5', '6', '7', '8']",3827612.708333334,14054.833333333336,272.5,19,152,1985/03,35,blank,,False,,,POINT Z (22.3464408 114.2011827 0),22.3464408,114.2011827
1,"SAN PO KONG PLAZA(Block 2),SHUNG LING ST|新蒲崗廣場2座,崇齡街",KSPK,5793973.0,13381.0,418,6030824.0,13928.0,418,9577168.0,15580.0,619,10.0,20.0,30.0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",6972423.666666668,14523.583333333336,480.5,29,232,1996/09,24,SAN PO KONG PLAZA,新蒲崗廣場,True,2.0,464.0,POINT Z (22.3352244 114.1959943 0),22.335224399999998,114.1959943
2,"HONG KING BLDG,TSEUK LUK ST|康景樓,爵祿街",KSPK,3645610.0,9212.0,315,3713320.0,9496.0,315,4591400.0,12840.0,440,10.0,16.0,20.0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J', 'K', 'L', 'M', 'N', 'P', 'Q', 'R', 'S', 'T']",4027741.203703704,10498.27777777778,387.77777777777777,14,252,1972/02,48,blank,,False,,,POINT Z (22.3350355 114.1973469 0),22.3350355,114.1973469
3,"TSUI FUNG BLDG,TSUI FUNG ST|翠鳳樓,翠鳳街",KSPK,3232710.0,10495.0,270,3333150.0,10827.0,270,5963928.0,12951.0,516,5.0,12.0,18.0,"['A', 'B', 'C', 'D', 'E', 'F']",4447700.111111111,11674.111111111108,385.44444444444434,22,132,1971/03,49,blank,,False,,,POINT Z (22.3444993 114.1969057 0),22.344499300000003,114.1969057
4,"FU YAU BLDG,PO KONG VILLAGE RD|富祐大廈,蒲崗村道",KSPK,3648295.0,12387.0,230,3789170.0,12511.0,230,4304640.0,17351.0,320,5.0,13.0,21.0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",3924939.958333334,14953.75,265.5,25,200,1978/04,42,blank,,False,,,POINT Z (22.344195 114.1986937 0),22.344195000000003,114.19869369999999
5,"KA WAH BLDG,YUK WAH ST|嘉華大廈,毓華街",KSPK,3528954.0,12258.0,286,3577860.0,12421.0,286,3735446.0,13061.0,290,3.0,6.0,9.0,"['A', 'B', 'C', 'D']",3614723.5,12595.416666666664,287.0,11,44,1976/12,44,blank,,False,,,POINT Z (22.3470545 114.2028038 0),22.347054500000002,114.2028038
6,"HOI HUNG BLDG,WAN FUNG ST|海鴻大廈,環鳳街",KSPK,4758831.424426787,11402.0,403,4924526.572251503,11799.0,403,5385692.0,13364.0,403,5.0,12.0,19.0,"['A', 'B']",5066439.707372057,12361.5,403.0,22,44,1991/03,29,blank,,False,,,POINT Z (22.3438648 114.1984383 0),22.343864800000002,114.19843829999999
7,"MAN PO BLDG,YUK WAH CRES|萬寶大廈,毓華里",KSPK,3139209.0203662426,12372.0,245,3128552.1517229043,12330.0,245,3211269.751192626,12656.0,258,4.0,10.0,15.0,"['A', 'B', 'C', 'D']",3235534.8171940274,12724.944444444443,251.5,18,72,1975/11,45,blank,,False,,,POINT Z (22.3468801 114.2028038 0),22.3468801,114.2028038
8,"SHUNG LING BLDG(Block B),SHUNG LING ST|崇齡大廈B座,崇齡街",KSPK,3384010.0,10844.0,290,3478260.0,11129.0,290,4731400.0,14039.0,410,6.0,12.0,17.0,"['1', '2', '3', '4', '5', '6', '7', '8']",4117461.6055292827,11820.416666666664,351.04166666666674,18,144,1971/08,49,SHUNG LING BLDG,崇齡大廈,True,2.0,288.0,POINT Z (22.334718 114.19557 0),22.334718,114.19556999999999
9,"HANG ON BLDG,PO KONG VILLAGE RD|恒安大廈,蒲崗村道",KSPK,4363200.0,13635.0,320,4345280.0,13579.0,320,5268372.0,15139.0,355,6.0,13.0,20.0,"['A', 'B', 'C', 'D']",4743099.25,14124.166666666664,335.75,21,84,1980/05,40,blank,,False,,,POINT Z (22.343879 114.198624 0),22.343879,114.198624
