,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
8.0/F低層A,8.0,低層,A,,,743.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
22.0/F中層A,22.0,中層,A,,,743.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
36.0/F高層A,36.0,高層,A,,,758.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
8.0/F低層B,8.0,低層,B,,,859.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
22.0/F中層B,22.0,中層,B,,,859.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
36.0/F高層B,36.0,高層,B,,,859.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
8.0/F低層C,8.0,低層,C,,,859.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
22.0/F中層C,22.0,中層,C,,,859.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
36.0/F高層C,36.0,高層,C,,,859.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
8.0/F低層D,8.0,低層,D,,,743.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
22.0/F中層D,22.0,中層,D,,,743.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
36.0/F高層D,36.0,高層,D,,,758.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
8.0/F低層E,8.0,低層,E,,,462.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
22.0/F中層E,22.0,中層,E,,,462.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
36.0/F高層E,36.0,高層,E,,,462.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
8.0/F低層F,8.0,低層,F,,,483.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
22.0/F中層F,22.0,中層,F,,,483.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
36.0/F高層F,36.0,高層,F,,,483.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
8.0/F低層G,8.0,低層,G,,,483.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
22.0/F中層G,22.0,中層,G,,,483.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
36.0/F高層G,36.0,高層,G,,,483.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
8.0/F低層H,8.0,低層,H,,,490.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
22.0/F中層H,22.0,中層,H,,,490.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
36.0/F高層H,36.0,高層,H,,,490.0,,,KSWK,"PARK AVENUE(Block 9),HOI TING RD|柏景灣9座,海庭道"
