,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
6.0/F低層A,6.0,低層,A,3479466,9829,354,170,2,KYMT
7.0/F中層A,7.0,中層,A,3499290,9885,354,220,2,KYMT
8.0/F高層A,8.0,高層,A,3529734,9971,354,168,2,KYMT
6.0/F低層B,6.0,低層,B,3262623,10101,323,114,1,KYMT
7.0/F中層B,7.0,中層,B,3286202,10174,323,113,1,KYMT
8.0/F高層B,8.0,高層,B,3284480,10264,320,110,1,KYMT
6.0/F低層D,6.0,低層,D,3279250,10090,325,76,1,KYMT
7.0/F中層D,7.0,中層,D,3302650,10162,325,75,1,KYMT
8.0/F高層D,8.0,高層,D,3326375,10235,325,74,1,KYMT
6.0/F低層E,6.0,低層,E,3433464,9981,344,72,1,KYMT
7.0/F中層E,7.0,中層,E,3458232,10053,344,71,1,KYMT
8.0/F高層E,8.0,高層,E,3483000,10125,344,70,1,KYMT
