,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層1,6.0,低層,1,5564720,10640,523,217,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
10.0/F中層1,10.0,中層,1,5733649,10963,523,225,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
14.0/F高層1,14.0,高層,1,6760320,12072,560,219,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
6.0/F低層2,6.0,低層,2,4309872,11312,381,226,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
10.0/F中層2,10.0,中層,2,4443984,11664,381,234,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
14.0/F高層2,14.0,高層,2,4580763,12023,381,238,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
6.0/F低層3,6.0,低層,3,3977099,12313,323,231,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
10.0/F中層3,10.0,中層,3,4100162,12694,323,245,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
14.0/F高層3,14.0,高層,3,4215150,13050,323,253,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
6.0/F低層4,6.0,低層,4,5669790,13965,406,81,1,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
10.0/F中層4,10.0,中層,4,5826912,14352,406,233,2,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
14.0/F高層4,14.0,高層,4,4884687,11943,409,238,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
6.0/F低層5,6.0,低層,5,4392108,10818,406,340,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
10.0/F中層5,10.0,中層,5,4726652,11642,406,350,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
14.0/F高層5,14.0,高層,5,4517250,12046,375,280,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
6.0/F低層6,6.0,低層,6,5524988,10666,518,263,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
10.0/F中層6,10.0,中層,6,5691784,10988,518,271,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
14.0/F高層6,14.0,高層,6,5859098,11311,518,273,3,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
6.0/F低層7,6.0,低層,7,5367720,10910,492,314,4,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
10.0/F中層7,10.0,中層,7,5532540,11245,492,328,4,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
14.0/F高層7,14.0,高層,7,5713596,11613,492,381,4,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
6.0/F低層8,6.0,低層,8,5586936,10308,542,329,4,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
10.0/F中層8,10.0,中層,8,5046651,11043,457,373,4,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
14.0/F高層8,14.0,高層,8,4553956,11737,388,370,4,KYMT,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街"
