,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2.0/F低層A,2.0,低層,A,3511404.0,10004.0,351,336,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
4.0/F中層A,4.0,中層,A,3564405.0,10155.0,351,340,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
6.0/F高層A,6.0,高層,A,3689361.0,10511.0,351,342,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
2.0/F低層B,2.0,低層,B,3561360.0,10032.0,355,374,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
4.0/F中層B,4.0,中層,B,3614610.0,10182.0,355,377,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
6.0/F高層B,6.0,高層,B,3668570.0,10334.0,355,378,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
2.0/F低層C,2.0,低層,C,3615300.0,10300.0,351,366,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
4.0/F中層C,4.0,中層,C,3671811.0,10461.0,351,375,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
6.0/F高層C,6.0,高層,C,3727269.0,10619.0,351,379,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
2.0/F低層D,2.0,低層,D,3530358.0,10058.0,351,379,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
4.0/F中層D,4.0,中層,D,3584061.0,10211.0,351,384,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
6.0/F高層D,6.0,高層,D,3619161.0,10311.0,351,326,3,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
2.0/F低層E,2.0,低層,E,3511404.0,10004.0,351,336,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
4.0/F中層E,4.0,中層,E,3564405.0,10155.0,351,340,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
6.0/F高層E,6.0,高層,E,3689361.0,10511.0,351,342,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
2.0/F低層F,2.0,低層,F,3511404.0,10004.0,351,336,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
4.0/F中層F,4.0,中層,F,3564405.0,10155.0,351,340,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
6.0/F高層F,6.0,高層,F,3770091.0,10741.0,351,334,3,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
2.0/F低層G,2.0,低層,G,2903770.0,9367.0,310,311,3,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
4.0/F中層G,4.0,中層,G,3381282.0,10154.0,333,387,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
6.0/F高層G,6.0,高層,G,3489507.0,10479.0,333,389,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
2.0/F低層H,2.0,低層,H,2694680.0,9292.0,290,374,3,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
4.0/F中層H,4.0,中層,H,2768630.0,9547.0,290,406,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
6.0/F高層H,6.0,高層,H,3001500.0,10350.0,290,337,3,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
2.0/F低層K,2.0,低層,K,2852055.0,9351.0,305,311,3,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
4.0/F中層K,4.0,中層,K,2788930.0,9617.0,290,312,3,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
6.0/F高層K,6.0,高層,K,2835620.0,9778.0,290,322,3,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
2.0/F低層L,2.0,低層,L,3446192.0,10018.0,344,335,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
4.0/F中層L,4.0,中層,L,3498136.0,10169.0,344,339,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
6.0/F高層L,6.0,高層,L,3619912.0,10523.0,344,342,4,KYMT,"HING WAH BLDG,RECLAMATION ST|慶華大樓,新填地街"
