,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層A,7.0,低層,A,7454460,9557,780,326,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
10.0/F中層A,10.0,中層,A,7608900,9755,780,327,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
14.0/F高層A,14.0,高層,A,7671300,9835,780,323,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
7.0/F低層B,7.0,低層,B,4590881,9127,503,348,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
10.0/F中層B,10.0,中層,B,4690978,9326,503,349,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
14.0/F高層B,14.0,高層,B,4823267,9589,503,339,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
7.0/F低層C,7.0,低層,C,5252904,8964,586,376,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
10.0/F中層C,10.0,中層,C,5370690,9165,586,386,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
14.0/F高層C,14.0,高層,C,5525980,9430,586,388,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
7.0/F低層E,7.0,低層,E,6143400,10239,600,351,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
10.0/F中層E,10.0,中層,E,6195000,10325,600,343,3,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
14.0/F高層E,14.0,高層,E,6466200,10777,600,349,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
7.0/F低層F,7.0,低層,F,5724600,9541,600,346,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
10.0/F中層F,10.0,中層,F,6025200,10042,600,259,3,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
14.0/F高層F,14.0,高層,F,5970796,10348,577,267,3,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
7.0/F低層G,7.0,低層,G,5500833,9003,611,383,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
10.0/F中層G,10.0,中層,G,5624255,9205,611,392,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
14.0/F高層G,14.0,高層,G,5787392,9472,611,390,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
7.0/F低層H,7.0,低層,H,4407840,9183,480,298,3,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
10.0/F中層H,10.0,中層,H,4505280,9386,480,303,3,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
14.0/F高層H,14.0,高層,H,4633440,9653,480,297,3,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
7.0/F低層HI,7.0,低層,HI,9549540,8268,1155,184,3,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
10.0/F中層HI,10.0,中層,HI,9767835,8457,1155,191,3,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
14.0/F高層HI,14.0,高層,HI,10065825,8715,1155,195,3,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
7.0/F低層I,7.0,低層,I,6669208,9161,728,361,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
10.0/F中層I,10.0,中層,I,6819176,9367,728,370,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
14.0/F高層I,14.0,高層,I,7017920,9640,728,372,4,KYMT,"KIM TAK BLDG,NATHAN RD|儉德大廈,彌敦道"
