,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5.0/F低層A,5.0,低層,A,9458845,12595,751,209,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
14.0/F中層A,14.0,中層,A,9975533,13283,751,230,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
23.0/F高層A,23.0,高層,A,10474197,13947,751,225,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
5.0/F低層AB,5.0,低層,AB,14011400,11050,1268,164,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
14.0/F中層AB,14.0,中層,AB,14784880,11660,1268,181,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
23.0/F高層AB,23.0,高層,AB,15563432,12274,1268,172,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
5.0/F低層B,5.0,低層,B,7046710,13630,517,350,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
14.0/F中層B,14.0,中層,B,7383277,14281,517,323,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
23.0/F高層B,23.0,高層,B,7739490,14970,517,362,4,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
5.0/F低層C,5.0,低層,C,5920684,11452,517,235,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
14.0/F中層C,14.0,中層,C,6253115,12095,517,262,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
23.0/F高層C,23.0,高層,C,6603124,12772,517,255,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
5.0/F低層D,5.0,低層,D,9788176,14227,688,316,4,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
14.0/F中層D,14.0,中層,D,8869696,12892,688,271,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
23.0/F高層D,23.0,高層,D,9310016,13532,688,262,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
5.0/F低層E,5.0,低層,E,10126672,14719,688,358,5,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
14.0/F中層E,14.0,中層,E,9026560,13120,688,321,4,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
23.0/F高層E,23.0,高層,E,9521232,13839,688,330,4,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
5.0/F低層F,5.0,低層,F,6895746,13338,517,381,4,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
14.0/F中層F,14.0,中層,F,7251442,14026,517,357,4,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
23.0/F高層F,23.0,高層,F,7607138,14714,517,316,4,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
5.0/F低層G,5.0,低層,G,6920562,13386,517,355,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
14.0/F中層G,14.0,中層,G,7278326,14078,517,343,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
23.0/F高層G,23.0,高層,G,7561642,14626,517,376,4,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
5.0/F低層H,5.0,低層,H,9407777,12527,751,248,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
14.0/F中層H,14.0,中層,H,9926718,13218,751,273,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
23.0/F高層H,23.0,高層,H,10426133,13883,751,273,3,KYT,"LAGUNA CITY(Block 8),LAGUNA ST|麗港城8座,麗港街"
