,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7/F低層A,7,低層,A,6210304.0,11416.0,544.0,386,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
18/F中層A,18,中層,A,6598720.0,12130.0,544.0,394,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
28/F高層A,28,高層,A,7014880.0,12895.0,544.0,400,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
7/F低層B,7,低層,B,6502431.999999999,11953.0,544.0,408,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
18/F中層B,18,中層,B,6841887.999999999,12577.0,544.0,388,3,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
28/F高層B,28,高層,B,7255328.0,13337.0,544.0,361,3,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
7/F低層C,7,低層,C,6223244.0,11482.0,542.0,387,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
18/F中層C,18,中層,C,6460098.0,11919.0,542.0,374,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
28/F高層C,28,高層,C,6719174.0,12397.0,542.0,331,3,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
7/F低層D,7,低層,D,7168288.0,13177.0,544.0,368,3,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
18/F中層D,18,中層,D,7145984.0,13136.0,544.0,328,3,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
28/F高層D,28,高層,D,7298303.999999999,13416.0,544.0,352,3,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
7/F低層E,7,低層,E,7762708.000000001,12361.0,628.0,395,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
18/F中層E,18,中層,E,8055984.0,12828.0,628.0,403,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
28/F高層E,28,高層,E,8484280.0,13510.0,628.0,361,3,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
7/F低層F,7,低層,F,7701678.0,12303.0,626.0,384,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
18/F中層F,18,中層,F,8059124.0,12874.0,626.0,388,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
28/F高層F,28,高層,F,8454130.0,13505.0,626.0,352,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
7/F低層G,7,低層,G,7567714.0,12089.0,626.0,373,3,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
18/F中層G,18,中層,G,7976492.0,12742.0,626.0,397,3,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
28/F高層G,28,高層,G,8500454.0,13579.0,626.0,360,3,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
7/F低層H,7,低層,H,7556724.000000001,12033.0,628.0,365,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
18/F中層H,18,中層,H,8130716.0,12947.0,628.0,367,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
28/F高層H,28,高層,H,8696544.0,13848.0,628.0,337,4,KYT,"SCENEWAY GARDEN(Block 6),SCENEWAY RD|匯景花園6座,匯景道"
