,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7/F低層11,7,低層,11,1770093.0,5043,351.0,226,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
12/F中層11,12,中層,11,1822041.0,5191,351.0,241,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
18/F高層11,18,高層,11,1883115.0,5365,351.0,247,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
7/F低層15,7,低層,15,1783431.0,5081,351.0,263,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
12/F中層15,12,中層,15,1836081.0,5231,351.0,281,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
18/F高層15,18,高層,15,1904877.0,5427,351.0,312,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
7/F低層16,7,低層,16,1770093.0,5043,351.0,226,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
12/F中層16,12,中層,16,1822041.0,5191,351.0,241,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
18/F高層16,18,高層,16,1883115.0,5365,351.0,247,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
7/F低層18,7,低層,18,1770093.0,5043,351.0,226,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
12/F中層18,12,中層,18,1822041.0,5191,351.0,241,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
18/F高層18,18,高層,18,1883115.0,5365,351.0,247,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
7/F低層20,7,低層,20,1806063.0,5059,357.0,227,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
12/F中層20,12,中層,20,1859613.0,5209,357.0,242,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
18/F高層20,18,高層,20,1921731.0,5383,357.0,248,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
7/F低層22,7,低層,22,1811418.0,5074,357.0,269,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
12/F中層22,12,中層,22,1866039.0,5227,357.0,304,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
18/F高層22,18,高層,22,1926729.0,5397,357.0,290,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
7/F低層27,7,低層,27,1872384.0,5088,368.0,226,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
12/F中層27,12,中層,27,1927952.0,5239,368.0,241,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
18/F高層27,18,高層,27,1992720.0,5415,368.0,247,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
7/F低層5,7,低層,5,1770093.0,5043,351.0,226,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
12/F中層5,12,中層,5,1822041.0,5191,351.0,241,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
18/F高層5,18,高層,5,1883115.0,5365,351.0,247,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
7/F低層8,7,低層,8,1878579.0,5091,369.0,225,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
12/F中層8,12,中層,8,1934298.0,5242,369.0,240,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
18/F高層8,18,高層,8,1999242.0,5418,369.0,246,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
7/F低層9,7,低層,9,1858653.0,5037,369.0,262,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
12/F中層9,12,中層,9,1913634.0,5186,369.0,279,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
18/F高層9,18,高層,9,1977471.0,5359,369.0,288,3,KYT,"TAK KING HSE(Block 1,TAK TIN EST),PIK WAN RD|德田村,1座(德敬樓),碧雲道"
