,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2.0/F低層A,2.0,低層,A,2350110,8246,285,90,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
4.0/F中層A,4.0,中層,A,2369775,8315,285,92,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
5.0/F高層A,5.0,高層,A,2379750,8350,285,91,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
2.0/F低層B,2.0,低層,B,2350110,8246,285,90,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
4.0/F中層B,4.0,中層,B,2369775,8315,285,92,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
5.0/F高層B,5.0,高層,B,2379750,8350,285,91,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
2.0/F低層C,2.0,低層,C,2477400,8258,300,93,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
4.0/F中層C,4.0,中層,C,2498400,8328,300,95,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
5.0/F高層C,5.0,高層,C,2508900,8363,300,94,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
2.0/F低層D,2.0,低層,D,2350110,8246,285,90,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
4.0/F中層D,4.0,中層,D,2369775,8315,285,92,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
5.0/F高層D,5.0,高層,D,2379750,8350,285,91,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
2.0/F低層E,2.0,低層,E,2350110,8246,285,90,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
4.0/F中層E,4.0,中層,E,2369775,8315,285,92,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
5.0/F高層E,5.0,高層,E,2379750,8350,285,91,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
2.0/F低層F,2.0,低層,F,2477400,8258,300,140,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
4.0/F中層F,4.0,中層,F,2498400,8328,300,150,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
5.0/F高層F,5.0,高層,F,2508900,8363,300,141,1,NKC,"CHUN PO BLDG,KWAI CHUNG RD|珍寶大樓,葵涌道"
