,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
8.0/F低層1,8.0,低層,1,5125021.0,9913.0,517,362,3,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
22.0/F中層1,22.0,中層,1,5185510.0,10030.0,517,329,3,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
34.0/F高層1,34.0,高層,1,5375249.0,10397.0,517,344,3,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
8.0/F低層2,8.0,低層,2,5227388.0,9938.0,526,349,3,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
22.0/F中層2,22.0,中層,2,5537201.999999999,10527.0,526,335,3,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
34.0/F高層2,34.0,高層,2,5688689.999999999,10815.0,526,370,4,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
8.0/F低層3,8.0,低層,3,5093817.0,9777.0,521,348,3,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
22.0/F中層3,22.0,中層,3,5598666.0,10746.0,521,357,4,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
34.0/F高層3,34.0,高層,3,5662228.0,10868.0,521,320,4,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
8.0/F低層4,8.0,低層,4,5331914.000000001,10234.0,521,321,3,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
22.0/F中層4,22.0,中層,4,5598145.0,10745.0,521,364,4,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
34.0/F高層4,34.0,高層,4,5669001.0,10881.0,521,354,5,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
8.0/F低層5,8.0,低層,5,5244746.0,9971.0,526,360,4,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
22.0/F中層5,22.0,中層,5,5507746.0,10471.0,526,347,4,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
34.0/F高層5,34.0,高層,5,5626622.0,10697.0,526,309,4,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
8.0/F低層6,8.0,低層,6,5344229.0,10337.0,517,396,4,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
22.0/F中層6,22.0,中層,6,5622892.0,10876.0,517,350,4,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
34.0/F高層6,34.0,高層,6,5675626.0,10978.0,517,314,4,NMOS,"KAM PUI HSE(Block K,KAM TAI COURT),NING TAI RD|錦泰苑,K座(錦培閣),寧泰路"
