,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7/F低層1,7,低層,1,5475736.0,9884.0,554.0,329,5,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
18/F中層1,18,中層,1,5069100.0,9150.0,554.0,363,5,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
29/F高層1,29,高層,1,5285160.0,9540.0,554.0,331,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
7/F低層10,7,低層,10,4255412.0,10612.0,401.0,322,3,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
18/F中層10,18,中層,10,4544934.0,11334.0,401.0,360,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
29/F高層10,29,高層,10,4614307.0,11507.0,401.0,325,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
7/F低層2,7,低層,2,5372138.0,9697.0,554.0,317,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
18/F中層2,18,中層,2,5138904.0,9276.0,554.0,328,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
29/F高層2,29,高層,2,5376570.0,9705.0,554.0,340,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
7/F低層3,7,低層,3,4016816.9999999995,10017.0,401.0,332,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
18/F中層3,18,中層,3,4282680.0,10680.0,401.0,355,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
29/F高層3,29,高層,3,4545335.0,11335.0,401.0,354,3,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
7/F低層4,7,低層,4,6350670.0,9846.0,645.0,342,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
18/F中層4,18,中層,4,5866275.0,9095.0,645.0,349,5,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
29/F高層4,29,高層,4,6086220.0,9436.0,645.0,320,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
7/F低層5,7,低層,5,4275863.0,10663.0,401.0,318,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
18/F中層5,18,中層,5,4588242.0,11442.0,401.0,316,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
29/F高層5,29,高層,5,4877363.0,12163.0,401.0,317,5,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
7/F低層6,7,低層,6,5475736.0,9884.0,554.0,329,5,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
18/F中層6,18,中層,6,5137796.0,9274.0,554.0,355,5,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
29/F高層6,29,高層,6,5315076.0,9594.0,554.0,315,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
7/F低層7,7,低層,7,4880740.0,8810.0,554.0,356,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
18/F中層7,18,中層,7,5525596.0,9974.0,554.0,329,3,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
29/F高層7,29,高層,7,5568254.0,10051.0,554.0,394,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
7/F低層8,7,低層,8,4307141.0,10741.0,401.0,322,3,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
18/F中層8,18,中層,8,4529295.0,11295.0,401.0,314,5,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
29/F高層8,29,高層,8,4568593.0,11393.0,401.0,279,5,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
7/F低層9,7,低層,9,5434125.0,8425.0,645.0,349,4,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
18/F中層9,18,中層,9,5670195.0,8791.0,645.0,328,3,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
29/F高層9,29,高層,9,6052680.0,9384.0,645.0,348,3,NMOS,"LUNG YIU HSE(Block C,Phase 1,KAM LUNG COURT),1 KAM YING RD|錦龍苑,1期,C座(龍耀閣),1 錦英路"
