,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
14/F低層A,14,低層,A,9309476.0,13453.0,692.0,326,3,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
24/F中層A,24,中層,A,9684584.0,14056.0,689.0,340,3,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
34/F高層A,34,高層,A,10055955.0,14595.0,689.0,360,3,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
14/F低層B,14,低層,B,10189935.0,12915.0,789.0,400,4,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
24/F中層B,24,中層,B,10922256.0,13896.0,786.0,341,3,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
34/F高層B,34,高層,B,11430012.0,14542.0,786.0,332,3,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
14/F低層C,14,低層,C,10327670.0,13073.0,790.0,371,4,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
24/F中層C,24,中層,C,10707135.0,13605.0,787.0,397,4,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
34/F高層C,34,高層,C,11335948.0,14404.0,787.0,398,4,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
14/F低層D,14,低層,D,8825888.0,13292.0,664.0,311,4,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
24/F中層D,24,中層,D,9401403.0,14223.0,661.0,323,4,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
34/F高層D,34,高層,D,9874679.0,14939.0,661.0,354,4,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
14/F低層E,14,低層,E,6574080.0,13696.0,480.0,333,3,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
24/F中層E,24,中層,E,6854520.000000001,14340.0,478.0,346,3,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
34/F高層E,34,高層,E,7100212.0,14854.0,478.0,341,3,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
14/F低層F,14,低層,F,6608472.0,14001.0,472.0,333,3,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
24/F中層F,24,中層,F,6899224.0,14617.0,472.0,354,3,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
34/F高層F,34,高層,F,7185728.0,15224.0,472.0,324,3,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
14/F低層G,14,低層,G,6637435.0,13355.0,497.0,357,3,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
24/F中層G,24,中層,G,6902168.0,13972.0,494.0,340,3,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
34/F高層G,34,高層,G,7078032.0,14328.0,494.0,382,4,NMOS,"OCEAN VIEW(Block 3),PO TAI ST|海典灣3座,保泰街"
