,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5/F低層A,5,低層,A,8739405.0,11133.0,785.0,388,4,NMOS,"OCEANAIRE(Block 5A),PO TAI ST|天宇海5A座,保泰街"
16/F中層A,16,中層,A,9221395.0,11747.0,785.0,358,3,NMOS,"OCEANAIRE(Block 5A),PO TAI ST|天宇海5A座,保泰街"
26/F高層A,26,高層,A,9704955.0,12363.0,785.0,385,4,NMOS,"OCEANAIRE(Block 5A),PO TAI ST|天宇海5A座,保泰街"
5/F低層B,5,低層,B,9327291.0,11703.0,797.0,364,4,NMOS,"OCEANAIRE(Block 5A),PO TAI ST|天宇海5A座,保泰街"
16/F中層B,16,中層,B,9642903.0,12099.0,797.0,363,3,NMOS,"OCEANAIRE(Block 5A),PO TAI ST|天宇海5A座,保泰街"
26/F高層B,26,高層,B,10532355.0,13215.0,797.0,398,4,NMOS,"OCEANAIRE(Block 5A),PO TAI ST|天宇海5A座,保泰街"
5/F低層C,5,低層,C,8896528.0,11524.0,772.0,350,5,NMOS,"OCEANAIRE(Block 5A),PO TAI ST|天宇海5A座,保泰街"
16/F中層C,16,中層,C,9300284.0,12047.0,772.0,326,4,NMOS,"OCEANAIRE(Block 5A),PO TAI ST|天宇海5A座,保泰街"
26/F高層C,26,高層,C,9813664.0,12712.0,772.0,310,4,NMOS,"OCEANAIRE(Block 5A),PO TAI ST|天宇海5A座,保泰街"
5/F低層D,5,低層,D,8190348.0,11189.0,732.0,330,3,NMOS,"OCEANAIRE(Block 5A),PO TAI ST|天宇海5A座,保泰街"
16/F中層D,16,中層,D,8713728.0,11904.0,732.0,385,4,NMOS,"OCEANAIRE(Block 5A),PO TAI ST|天宇海5A座,保泰街"
26/F高層D,26,高層,D,9150732.0,12501.0,732.0,354,4,NMOS,"OCEANAIRE(Block 5A),PO TAI ST|天宇海5A座,保泰街"
