,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2/F低層A,2,低層,A,13159382.958787512,11938.0,1110.0,348,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
5/F中層A,5,中層,A,13340161.883669497,12102.0,1110.0,352,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
7/F高層A,7,高層,A,13449290.624909233,12201.0,1110.0,348,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
2/F低層B,2,低層,B,11688395.0,11315.0,1033.0,319,3,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
5/F中層B,5,中層,B,12590204.0,12188.0,1033.0,401,3,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
7/F高層B,7,高層,B,11993129.999999998,11610.0,1033.0,369,3,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
2/F低層C,2,低層,C,11632613.0,11261.0,1033.0,276,3,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
5/F中層C,5,中層,C,11780332.0,11404.0,1033.0,276,3,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
7/F高層C,7,高層,C,11878467.000000002,11499.0,1033.0,273,3,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
2/F低層D,2,低層,D,13620277.854563048,11885.0,1154.0,341,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
5/F中層D,5,中層,D,13808222.790881798,12049.0,1154.0,345,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
7/F高層D,7,高層,D,13920531.350389343,12147.0,1154.0,341,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
2/F低層E,2,低層,E,12745239.931972612,11398.0,1126.0,361,3,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
5/F中層E,5,中層,E,12908497.084987877,11544.0,1126.0,368,3,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
7/F高層E,7,高層,E,13002425.857955564,11628.0,1126.0,401,3,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
2/F低層F,2,低層,F,12356290.162383216,12045.0,1033.0,377,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
5/F中層F,5,中層,F,12529657.786911465,12214.0,1033.0,374,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
7/F高層F,7,高層,F,12697896.191779116,12378.0,1033.0,369,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
2/F低層G,2,低層,G,12415789.110446164,12103.0,1033.0,377,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
5/F中層G,5,中層,G,12587105.047110176,12270.0,1033.0,377,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
7/F高層G,7,高層,G,12754317.608045705,12433.0,1033.0,372,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
2/F低層H,2,低層,H,13207366.237695707,12014.0,1107.0,373,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
5/F中層H,5,中層,H,13389855.233488737,12180.0,1107.0,369,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
7/F高層H,7,高層,H,13565748.241482023,12340.0,1107.0,364,4,NMOS,"VILLA CONCERTO(Block 9,SYMPHONY BAY),SAI SHA RD|帝琴灣,9座(凱弦居),西沙路"
