,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
8/F低層1,8,低層,1,5526150.0,9975.0,554.0,332,5,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
18/F中層1,18,中層,1,5736670.0,10355.0,554.0,356,5,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
29/F高層1,29,高層,1,5963809.999999999,10765.0,554.0,335,5,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
8/F低層10,8,低層,10,4279472.0,10672.0,401.0,348,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
18/F中層10,18,中層,10,4446288.0,11088.0,401.0,394,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
29/F高層10,29,高層,10,4573405.0,11405.0,401.0,385,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
8/F低層2,8,低層,2,5540554.0,10001.0,554.0,309,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
18/F中層2,18,中層,2,5752736.0,10384.0,554.0,328,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
29/F高層2,29,高層,2,5949406.0,10739.0,554.0,314,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
8/F低層3,8,低層,3,4200074.0,10474.0,401.0,363,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
18/F中層3,18,中層,3,4382529.0,10929.0,401.0,345,3,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
29/F高層3,29,高層,3,4568192.0,11392.0,401.0,355,3,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
8/F低層4,8,低層,4,6326805.0,9809.0,645.0,312,5,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
18/F中層4,18,中層,4,6564165.0,10177.0,645.0,336,5,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
29/F高層4,29,高層,4,6813780.0,10564.0,645.0,318,5,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
8/F低層5,8,低層,5,4189648.0,10448.0,401.0,314,5,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
18/F中層5,18,中層,5,4329196.0,10796.0,401.0,301,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
29/F高層5,29,高層,5,4502829.0,11229.0,401.0,301,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
8/F低層6,8,低層,6,5526150.0,9975.0,554.0,332,5,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
18/F中層6,18,中層,6,5736670.0,10355.0,554.0,356,5,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
29/F高層6,29,高層,6,5963809.999999999,10765.0,554.0,335,5,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
8/F低層7,8,低層,7,5551634.0,10021.0,554.0,315,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
18/F中層7,18,中層,7,5765477.999999999,10407.0,554.0,324,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
29/F高層7,29,高層,7,5953838.0,10747.0,554.0,358,5,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
8/F低層8,8,低層,8,4189648.0,10448.0,401.0,314,5,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
18/F中層8,18,中層,8,4329196.0,10796.0,401.0,301,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
29/F高層8,29,高層,8,4502829.0,11229.0,401.0,301,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
8/F低層9,8,低層,9,6393884.999999999,9913.0,645.0,302,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
18/F中層9,18,中層,9,6603510.0,10238.0,645.0,320,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
29/F高層9,29,高層,9,6854415.0,10627.0,645.0,300,4,NMOS,"YUK ON HSE(Block A,KAM ON COURT),HANG KAM ST|錦鞍苑,A座(玉鞍閣),恆錦街"
