,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5.0/F低層A,5.0,低層,A,5399550,13845,390,402,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
8.0/F中層A,8.0,中層,A,5488080,14072,390,403,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
12.0/F高層A,12.0,高層,A,5516550,14145,390,402,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
5.0/F低層B,5.0,低層,B,5544837,14109,393,402,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
8.0/F中層B,8.0,中層,B,5674134,14438,393,403,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
12.0/F高層B,12.0,高層,B,5704788,14516,393,402,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
5.0/F低層C,5.0,低層,C,8108694,13651,594,402,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
8.0/F中層C,8.0,中層,C,8203140,13810,594,403,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
12.0/F高層C,12.0,高層,C,8468658,14257,594,402,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
5.0/F低層D,5.0,低層,D,9316185,15605,597,397,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
8.0/F中層D,8.0,中層,D,9510210,15930,597,402,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
12.0/F高層D,12.0,高層,D,10237356,17148,597,405,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
5.0/F低層E,5.0,低層,E,6719197,17273,389,428,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
8.0/F中層E,8.0,中層,E,6877520,17680,389,423,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
12.0/F高層E,12.0,高層,E,6928479,17811,389,422,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
5.0/F低層F,5.0,低層,F,5783099,14567,397,411,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
8.0/F中層F,8.0,中層,F,5905772,14876,397,416,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
12.0/F高層F,12.0,高層,F,6014153,15149,397,416,3,NPSK,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路"
