,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
4/F低層A,4,低層,A,5372242.0,11239,478.0,323,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
6/F中層A,6,中層,A,5732654.0,11993,478.0,329,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
9/F高層A,9,高層,A,6271360.0,13120,478.0,325,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
4/F低層B,4,低層,B,5372242.0,11239,478.0,323,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
6/F中層B,6,中層,B,5732654.0,11993,478.0,329,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
9/F高層B,9,高層,B,6271360.0,13120,478.0,325,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
4/F低層C,4,低層,C,5548880.0,11120,499.0,324,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
6/F中層C,6,中層,C,5921633.0,11867,499.0,330,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
9/F高層C,9,高層,C,6478018.0,12982,499.0,326,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
4/F低層D,4,低層,D,5549379.0,11121,499.0,370,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
6/F中層D,6,中層,D,5919637.0,11863,499.0,376,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
9/F高層D,9,高層,D,6342290.0,12710,499.0,370,3,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
4/F低層E,4,低層,E,6466602.0,11111,582.0,272,3,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
6/F中層E,6,中層,E,6913578.0,11879,582.0,277,3,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
9/F高層E,9,高層,E,7574730.0,13015,582.0,277,3,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
4/F低層F,4,低層,F,5551116.0,9538,582.0,175,2,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
6/F中層F,6,中層,F,5974812.0,10266,582.0,180,2,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
9/F高層F,9,高層,F,6609774.0,11357,582.0,188,2,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
4/F低層G,4,低層,G,5033574.0,11466,439.0,320,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
6/F中層G,6,中層,G,5370726.0,12234,439.0,326,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
9/F高層G,9,高層,G,5873820.0,13380,439.0,322,4,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
4/F低層H,4,低層,H,4998184.0,11678,428.0,350,3,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
6/F中層H,6,中層,H,5328600.0,12450,428.0,360,3,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
9/F高層H,9,高層,H,5816948.0,13591,428.0,347,3,NSK,"SAI KUNG GARDEN(Block 1),CHAN MAN ST|西貢花園1座,親民街"
