,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2/F低層1,2,低層,1,3328656.0,6711.0,496.0,169,2,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
3/F中層1,3,中層,1,3338080.0,6730.0,496.0,172,2,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
4/F高層1,4,高層,1,3342544.0,6739.0,496.0,226,2,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
2/F低層2,2,低層,2,3481920.0,7020.0,496.0,224,2,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
3/F中層2,3,中層,2,3385322.6179509764,6698.0,496.0,393,4,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
4/F高層2,4,高層,2,3393914.807336638,6715.0,496.0,393,4,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
2/F低層3,2,低層,3,3273453.9833060317,6763.0,475.0,351,4,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
3/F中層3,3,中層,3,3281198.3665284025,6779.0,475.0,353,4,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
4/F高層3,4,高層,3,3289910.7976535703,6797.0,475.0,353,4,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
2/F低層4,2,低層,4,3051979.908113101,6807.0,440.0,348,3,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
3/F中層4,3,中層,4,2703800.0,6145.0,440.0,228,2,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
4/F高層4,4,高層,4,3066775.756059,6840.0,440.0,347,3,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
2/F低層5,2,低層,5,3328656.0,6711.0,496.0,172,2,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
3/F中層5,3,中層,5,3333120.0,6720.0,496.0,225,2,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
4/F高層5,4,高層,5,3348000.0,6750.0,496.0,174,2,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
2/F低層6,2,低層,6,3022934.3950380394,5981.0,496.0,270,3,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
3/F中層6,3,中層,6,3031021.1615186627,5997.0,496.0,273,3,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
4/F高層6,4,高層,6,3039107.9279992864,6013.0,496.0,275,3,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
2/F低層7,2,低層,7,3035838.9830812113,6771.0,440.0,345,4,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
3/F中層7,3,中層,7,3043012.727539829,6787.0,440.0,347,4,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
4/F高層7,4,高層,7,3051531.5490844375,6806.0,440.0,345,4,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
2/F低層8,2,低層,8,3368409.292592434,6678.0,495.0,348,3,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
3/F中層8,3,中層,8,3378497.3707373654,6698.0,495.0,352,3,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
4/F高層8,4,高層,8,3403213.162192446,6747.0,495.0,435,3,NSS,"PO CHEUNG BLDG,LUEN ON ST|寶昌大樓,聯安街"
