,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5.0/F低層A,5.0,低層,A,5031520,8528,590,363,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
15.0/F中層A,15.0,中層,A,5147750,8725,590,326,3,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
24.0/F高層A,24.0,高層,A,5321800,9020,590,369,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
5.0/F低層B,5.0,低層,B,5077281,8591,591,319,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
15.0/F中層B,15.0,中層,B,5259900,8900,591,351,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
24.0/F高層B,24.0,高層,B,5364507,9077,591,323,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
5.0/F低層C,5.0,低層,C,5077281,8591,591,319,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
15.0/F中層C,15.0,中層,C,5259900,8900,591,351,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
24.0/F高層C,24.0,高層,C,5364507,9077,591,323,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
5.0/F低層D,5.0,低層,D,4888740,8286,590,331,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
15.0/F中層D,15.0,中層,D,5052170,8563,590,370,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
24.0/F高層D,24.0,高層,D,5209700,8830,590,337,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
5.0/F低層E,5.0,低層,E,4362670,9070,481,361,5,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
15.0/F中層E,15.0,中層,E,4472338,9298,481,320,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
24.0/F高層E,24.0,高層,E,4582487,9527,481,302,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
5.0/F低層F,5.0,低層,F,4292925,8925,481,316,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
15.0/F中層F,15.0,中層,F,4447326,9246,481,353,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
24.0/F高層F,24.0,高層,F,4585373,9533,481,371,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
5.0/F低層G,5.0,低層,G,5070460,8594,590,319,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
15.0/F中層G,15.0,中層,G,5252770,8903,590,351,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
24.0/F高層G,24.0,高層,G,5357200,9080,590,324,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
5.0/F低層H,5.0,低層,H,5092647,8617,591,357,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
15.0/F中層H,15.0,中層,H,5223258,8838,591,321,3,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
24.0/F高層H,24.0,高層,H,5386965,9115,591,364,4,NSS,"TSUI LAI GDN(Block 3),FUNG NAM RD|翠麗花園3座,鳳南路"
