,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5.0/F低層A,5.0,低層,A,9220095,11313,815,268,3,NST,"FONTANA HTS,BELAIR GDN,TAI CHUNG KIU RD|富儷閣(富豪花園),大涌橋路"
13.0/F中層A,13.0,中層,A,9540390,11706,815,280,3,NST,"FONTANA HTS,BELAIR GDN,TAI CHUNG KIU RD|富儷閣(富豪花園),大涌橋路"
21.0/F高層A,21.0,高層,A,9854980,12092,815,276,3,NST,"FONTANA HTS,BELAIR GDN,TAI CHUNG KIU RD|富儷閣(富豪花園),大涌橋路"
5.0/F低層B,5.0,低層,B,7887852,11634,678,347,4,NST,"FONTANA HTS,BELAIR GDN,TAI CHUNG KIU RD|富儷閣(富豪花園),大涌橋路"
13.0/F中層B,13.0,中層,B,8188884,12078,678,355,4,NST,"FONTANA HTS,BELAIR GDN,TAI CHUNG KIU RD|富儷閣(富豪花園),大涌橋路"
21.0/F高層B,21.0,高層,B,8547430,12478,685,342,4,NST,"FONTANA HTS,BELAIR GDN,TAI CHUNG KIU RD|富儷閣(富豪花園),大涌橋路"
5.0/F低層C,5.0,低層,C,9353850,11338,825,271,3,NST,"FONTANA HTS,BELAIR GDN,TAI CHUNG KIU RD|富儷閣(富豪花園),大涌橋路"
13.0/F中層C,13.0,中層,C,9685500,11740,825,303,3,NST,"FONTANA HTS,BELAIR GDN,TAI CHUNG KIU RD|富儷閣(富豪花園),大涌橋路"
21.0/F高層C,21.0,高層,C,9994050,12114,825,271,3,NST,"FONTANA HTS,BELAIR GDN,TAI CHUNG KIU RD|富儷閣(富豪花園),大涌橋路"
5.0/F低層D,5.0,低層,D,8199460,12238,670,334,3,NST,"FONTANA HTS,BELAIR GDN,TAI CHUNG KIU RD|富儷閣(富豪花園),大涌橋路"
13.0/F中層D,13.0,中層,D,8478850,12655,670,331,3,NST,"FONTANA HTS,BELAIR GDN,TAI CHUNG KIU RD|富儷閣(富豪花園),大涌橋路"
21.0/F高層D,21.0,高層,D,8549870,12761,670,353,4,NST,"FONTANA HTS,BELAIR GDN,TAI CHUNG KIU RD|富儷閣(富豪花園),大涌橋路"
