,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
4/F低層1,4,低層,1,12144006.0,10709.0,1134.0,269,3,NST,"GARDEN VISTA(Block C),ON KING ST|翠湖花園C座,安景街"
11/F中層1,11,中層,1,12481938.0,11007.0,1134.0,283,3,NST,"GARDEN VISTA(Block C),ON KING ST|翠湖花園C座,安景街"
19/F高層1,19,高層,1,12823272.0,11308.0,1134.0,312,3,NST,"GARDEN VISTA(Block C),ON KING ST|翠湖花園C座,安景街"
4/F低層2,4,低層,2,12221118.0,10777.0,1134.0,136,2,NST,"GARDEN VISTA(Block C),ON KING ST|翠湖花園C座,安景街"
11/F中層2,11,中層,2,12559050.0,11075.0,1134.0,148,2,NST,"GARDEN VISTA(Block C),ON KING ST|翠湖花園C座,安景街"
19/F高層2,19,高層,2,12921930.0,11395.0,1134.0,148,2,NST,"GARDEN VISTA(Block C),ON KING ST|翠湖花園C座,安景街"
4/F低層3,4,低層,3,10051300.0,12110.0,830.0,200,2,NST,"GARDEN VISTA(Block C),ON KING ST|翠湖花園C座,安景街"
11/F中層3,11,中層,3,10267100.0,12370.0,830.0,195,2,NST,"GARDEN VISTA(Block C),ON KING ST|翠湖花園C座,安景街"
19/F高層3,19,高層,3,10561750.0,12725.0,830.0,175,2,NST,"GARDEN VISTA(Block C),ON KING ST|翠湖花園C座,安景街"
4/F低層4,4,低層,4,9754160.0,11752.0,830.0,210,2,NST,"GARDEN VISTA(Block C),ON KING ST|翠湖花園C座,安景街"
11/F中層4,11,中層,4,9970790.0,12013.0,830.0,211,2,NST,"GARDEN VISTA(Block C),ON KING ST|翠湖花園C座,安景街"
19/F高層4,19,高層,4,10261290.0,12363.0,830.0,191,2,NST,"GARDEN VISTA(Block C),ON KING ST|翠湖花園C座,安景街"
