,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5/F低層1,5,低層,1,9194646.0,13154.0,699.0,367,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
14/F中層1,14,中層,1,9416928.0,13472.0,699.0,354,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
22/F高層1,22,高層,1,9642006.0,13794.0,699.0,346,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
5/F低層2,5,低層,2,9053448.0,12952.0,699.0,348,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
14/F中層2,14,中層,2,9105174.0,13026.0,699.0,366,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
22/F高層2,22,高層,2,9250566.0,13234.0,699.0,396,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
5/F低層3,5,低層,3,9573718.0,12782.0,749.0,319,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
14/F中層3,14,中層,3,9972186.0,13314.0,749.0,311,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
22/F高層3,22,高層,3,10019373.0,13377.0,749.0,306,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
5/F低層4,5,低層,4,8976342.0,13066.0,687.0,322,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
14/F中層4,14,中層,4,8733831.0,12713.0,687.0,323,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
22/F高層4,22,高層,4,8946801.0,13023.0,687.0,337,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
5/F低層5,5,低層,5,7318080.0,12705.0,576.0,396,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
14/F中層5,14,中層,5,7581312.0,13162.0,576.0,382,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
22/F高層5,22,高層,5,7733951.999999999,13427.0,576.0,353,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
5/F低層6,5,低層,6,7329600.0,12725.0,576.0,330,3,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
14/F中層6,14,中層,6,7530048.0,13073.0,576.0,381,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
22/F高層6,22,高層,6,7748928.0,13453.0,576.0,357,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
5/F低層7,5,低層,7,9036828.0,13059.0,692.0,362,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
14/F中層7,14,中層,7,9043056.0,13068.0,692.0,365,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
22/F高層7,22,高層,7,9284563.999999998,13417.0,692.0,367,4,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
5/F低層8,5,低層,8,9783552.0,12739.0,768.0,329,3,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
14/F中層8,14,中層,8,9937919.999999998,12940.0,768.0,321,3,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
22/F高層8,22,高層,8,10139904.0,13203.0,768.0,331,3,NST,"GARDEN VISTA(Phase B),Block D,ON KING ST|翠湖花園B期,D座,安景街"
