,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6/F低層1,6,低層,1,4435500.0,14785.0,300.0,376,4,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
14/F中層1,14,中層,1,4574390.0,14998.0,305.0,375,4,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
23/F高層1,23,高層,1,4599900.0,15333.0,300.0,330,3,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
6/F低層2,6,低層,2,4336640.0,15488.0,280.0,323,3,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
14/F中層2,14,中層,2,4342635.0,15345.0,283.0,347,4,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
23/F高層2,23,高層,2,4413920.0,15764.0,280.0,343,4,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
6/F低層3,6,低層,3,4114040.0,14693.0,280.0,330,3,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
14/F中層3,14,中層,3,4234720.0,15124.0,280.0,348,3,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
23/F高層3,23,高層,3,4398669.0,15543.0,283.0,341,3,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
6/F低層4,6,低層,4,3910500.0,13035.0,300.0,334,4,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
14/F中層4,14,中層,4,4064400.0,13548.0,300.0,346,4,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
23/F高層4,23,高層,4,4536000.0,15120.0,300.0,324,3,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
6/F低層5,6,低層,5,4615360.0,14423.0,320.0,366,3,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
14/F中層5,14,中層,5,4770240.0,14907.0,320.0,353,3,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
23/F高層5,23,高層,5,4861120.0,15191.0,320.0,325,3,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
6/F低層6,6,低層,6,4710720.0,14020.0,336.0,345,4,NST,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街"
