,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
4.0/F低層A,4.0,低層,A,4874880,15234,320,388,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
9.0/F中層A,9.0,中層,A,5013760,15668,320,399,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
14.0/F高層A,14.0,高層,A,5332800,16665,320,383,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
4.0/F低層B,4.0,低層,B,4389120,16256,270,378,3,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
9.0/F中層B,9.0,中層,B,4497930,16659,270,322,3,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
14.0/F高層B,14.0,高層,B,4516830,16729,270,377,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
4.0/F低層C,4.0,低層,C,4520070,16741,270,325,3,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
9.0/F中層C,9.0,中層,C,4620510,17113,270,326,3,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
14.0/F高層C,14.0,高層,C,4622940,17122,270,322,3,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
4.0/F低層D,4.0,低層,D,4623562,13843,334,404,3,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
9.0/F中層D,9.0,中層,D,4738458,14187,334,400,3,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
14.0/F高層D,14.0,高層,D,4728772,14158,334,397,3,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
4.0/F低層E,4.0,低層,E,4593836,13754,334,362,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
9.0/F中層E,9.0,中層,E,4764176,14264,334,335,3,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
14.0/F高層E,14.0,高層,E,4801250,14375,334,352,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
4.0/F低層F,4.0,低層,F,4405590,16317,270,341,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
9.0/F中層F,9.0,中層,F,4546800,16840,270,340,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
14.0/F高層F,14.0,高層,F,4646160,17208,270,326,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
4.0/F低層G,4.0,低層,G,4405590,16317,270,341,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
9.0/F中層G,9.0,中層,G,4546800,16840,270,340,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
14.0/F高層G,14.0,高層,G,4646160,17208,270,326,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
4.0/F低層H,4.0,低層,H,4639300,13645,340,347,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
9.0/F中層H,9.0,中層,H,4783800,14070,340,352,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
14.0/F高層H,14.0,高層,H,4802160,14124,340,357,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
4.0/F低層I,4.0,低層,I,4055240,14483,280,386,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
9.0/F中層I,9.0,中層,I,4140640,14788,280,381,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
14.0/F高層I,14.0,高層,I,4223240,15083,280,363,4,NST,"SAVOY GDN,SHATINPARK,KONG PUI ST|雅蕙苑(花園城),崗背街"
