,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層A,6.0,低層,A,12417800.0,17128.0,725,333,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
10.0/F中層A,10.0,中層,A,15103571.764708336,16117.0,869,354,3,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
17.0/F高層A,17.0,高層,A,15672403.933299137,16724.0,869,352,3,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
6.0/F低層B,6.0,低層,B,8830696.0,17768.0,497,337,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
10.0/F中層B,10.0,中層,B,9848574.0,17874.0,551,341,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
17.0/F高層B,17.0,高層,B,10059056.0,18256.0,551,317,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
6.0/F低層C,6.0,低層,C,9862755.0,17835.0,553,333,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
10.0/F中層C,10.0,中層,C,8224580.0,18076.0,455,358,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
17.0/F高層C,17.0,高層,C,8484840.0,18648.0,455,357,3,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
6.0/F低層D,6.0,低層,D,8519571.0,18807.0,453,340,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
10.0/F中層D,10.0,中層,D,8476989.0,18713.0,453,341,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
17.0/F高層D,17.0,高層,D,8647770.0,19090.0,453,315,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
6.0/F低層E,6.0,低層,E,6999660.0,18918.0,370,364,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
10.0/F中層E,10.0,中層,E,7082170.0,19141.0,370,361,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
17.0/F高層E,17.0,高層,E,7228690.0,19537.0,370,333,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
6.0/F低層F,6.0,低層,F,6759611.0,18829.0,359,381,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
10.0/F中層F,10.0,中層,F,6771099.0,18861.0,359,371,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
17.0/F高層F,17.0,高層,F,6915417.0,19263.0,359,340,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
6.0/F低層G,6.0,低層,G,6772832.0,19241.0,352,339,3,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
10.0/F中層G,10.0,中層,G,6886528.0,19564.0,352,332,3,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
17.0/F高層G,17.0,高層,G,7092800.000000001,20150.0,352,376,4,NTKO,"CORINTHIA BY THE SEA(Block 8),TONG YIN ST|帝景灣8座,唐賢街"
