,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
8.0/F低層A,8.0,低層,A,5822448.0,14412.0,404,330,3,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
22.0/F中層A,22.0,中層,A,5975404.0,15166.0,394,393,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
36.0/F高層A,36.0,高層,A,6333944.0,16076.0,394,358,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
8.0/F低層B,8.0,低層,B,7285493.0,13319.0,547,347,3,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
22.0/F中層B,22.0,中層,B,7611505.0,13915.0,547,359,3,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
36.0/F高層B,36.0,高層,B,7846168.000000001,14344.0,547,384,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
8.0/F低層C,8.0,低層,C,7055206.0,12898.0,547,377,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
22.0/F中層C,22.0,中層,C,7618069.0,13927.0,547,367,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
36.0/F高層C,36.0,高層,C,7782716.0,14228.0,547,325,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
8.0/F低層D,8.0,低層,D,6029910.0,14565.0,414,389,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
22.0/F中層D,22.0,中層,D,6285836.0,15559.0,404,389,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
36.0/F高層D,36.0,高層,D,6462787.999999999,15997.0,404,394,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
8.0/F低層E,8.0,低層,E,6199650.0,14975.0,414,398,3,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
22.0/F中層E,22.0,中層,E,6222408.0,15402.0,404,351,3,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
36.0/F高層E,36.0,高層,E,6420368.0,15892.0,404,374,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
8.0/F低層F,8.0,低層,F,6296290.0,12155.0,518,333,3,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
22.0/F中層F,22.0,中層,F,6656818.0,12851.0,518,391,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
36.0/F高層F,36.0,高層,F,6932394.0,13383.0,518,343,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
8.0/F低層G,8.0,低層,G,6424236.0,12402.0,518,337,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
22.0/F中層G,22.0,中層,G,7167048.0,13836.0,518,361,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
36.0/F高層G,36.0,高層,G,7368031.999999999,14224.0,518,344,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
8.0/F低層H,8.0,低層,H,5846284.0,14471.0,404,384,4,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
22.0/F中層H,22.0,中層,H,5946248.0,15092.0,394,341,3,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
36.0/F高層H,36.0,高層,H,6106605.999999999,15499.0,394,320,3,NTKO,"FINERY PARK(Block 2),YUK NGA LANE|富麗花園2座,毓雅里"
