,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
14/F低層A,14,低層,A,8219970.0,16606.0,495.0,367,3,NTKO,"LP6(Block 1,Phase 6,LOHAS PARK),1 LOHAS PARK RD|日出康城,6期,1座(LP6),1 康城路"
36/F中層A,36,中層,A,7954650.0,16070.0,495.0,411,3,NTKO,"LP6(Block 1,Phase 6,LOHAS PARK),1 LOHAS PARK RD|日出康城,6期,1座(LP6),1 康城路"
57/F高層A,57,高層,A,8161065.0,16487.0,495.0,393,3,NTKO,"LP6(Block 1,Phase 6,LOHAS PARK),1 LOHAS PARK RD|日出康城,6期,1座(LP6),1 康城路"
14/F低層B,14,低層,B,16901418.0,15563.0,1086.0,335,4,NTKO,"LP6(Block 1,Phase 6,LOHAS PARK),1 LOHAS PARK RD|日出康城,6期,1座(LP6),1 康城路"
36/F中層B,36,中層,B,17864700.0,16450.0,1086.0,399,3,NTKO,"LP6(Block 1,Phase 6,LOHAS PARK),1 LOHAS PARK RD|日出康城,6期,1座(LP6),1 康城路"
57/F高層B,57,高層,B,19304736.0,17776.0,1086.0,386,3,NTKO,"LP6(Block 1,Phase 6,LOHAS PARK),1 LOHAS PARK RD|日出康城,6期,1座(LP6),1 康城路"
14/F低層C,14,低層,C,8560845.0,16623.0,515.0,366,3,NTKO,"LP6(Block 1,Phase 6,LOHAS PARK),1 LOHAS PARK RD|日出康城,6期,1座(LP6),1 康城路"
36/F中層C,36,中層,C,8808045.0,17103.0,515.0,396,3,NTKO,"LP6(Block 1,Phase 6,LOHAS PARK),1 LOHAS PARK RD|日出康城,6期,1座(LP6),1 康城路"
57/F高層C,57,高層,C,9099020.0,17668.0,515.0,386,3,NTKO,"LP6(Block 1,Phase 6,LOHAS PARK),1 LOHAS PARK RD|日出康城,6期,1座(LP6),1 康城路"
14/F低層D,14,低層,D,14529522.0,16037.0,906.0,321,3,NTKO,"LP6(Block 1,Phase 6,LOHAS PARK),1 LOHAS PARK RD|日出康城,6期,1座(LP6),1 康城路"
36/F中層D,36,中層,D,15094866.000000002,16661.0,906.0,391,3,NTKO,"LP6(Block 1,Phase 6,LOHAS PARK),1 LOHAS PARK RD|日出康城,6期,1座(LP6),1 康城路"
57/F高層D,57,高層,D,15366666.0,16961.0,906.0,347,3,NTKO,"LP6(Block 1,Phase 6,LOHAS PARK),1 LOHAS PARK RD|日出康城,6期,1座(LP6),1 康城路"
