,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層A,7.0,低層,A,6862912.0,15319.0,448.0,370,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
20.0/F中層A,20.0,中層,A,7229376.0,16137.0,448.0,381,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
32.0/F高層A,32.0,高層,A,7482496.0,16702.0,448.0,363,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
7.0/F低層B,7.0,低層,B,6250860.0,16940.0,369.0,329,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
20.0/F中層B,20.0,中層,B,6405102.0,17358.0,369.0,340,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
32.0/F高層B,32.0,高層,B,6644952.0,18008.0,369.0,397,4,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
7.0/F低層C,7.0,低層,C,6318756.0,17124.0,369.0,392,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
20.0/F中層C,20.0,中層,C,6588126.0,17854.0,369.0,388,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
32.0/F高層C,32.0,高層,C,6807680.999999999,18449.0,369.0,346,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
7.0/F低層D,7.0,低層,D,6805568.0,15191.0,448.0,361,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
20.0/F中層D,20.0,中層,D,7107072.0,15864.0,448.0,392,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
32.0/F高層D,32.0,高層,D,7264768.0,16216.0,448.0,345,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
7.0/F低層E,7.0,低層,E,8222415.0,15087.0,545.0,331,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
20.0/F中層E,20.0,中層,E,8416980.0,15444.0,545.0,336,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
32.0/F高層E,32.0,高層,E,8682940.0,15932.0,545.0,325,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
7.0/F低層F,7.0,低層,F,6408770.0,17321.0,370.0,386,4,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
20.0/F中層F,20.0,中層,F,6469080.0,17484.0,370.0,390,4,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
32.0/F高層F,32.0,高層,F,6712910.0,18143.0,370.0,355,4,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
7.0/F低層G,7.0,低層,G,6482030.0,17519.0,370.0,337,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
20.0/F中層G,20.0,中層,G,6725120.0,18176.0,370.0,387,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
32.0/F高層G,32.0,高層,G,6749540.0,18242.0,370.0,334,3,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
7.0/F低層H,7.0,低層,H,8234950.0,15110.0,545.0,362,4,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
20.0/F中層H,20.0,中層,H,8437145.0,15481.0,545.0,348,4,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
32.0/F高層H,32.0,高層,H,8545600.0,15680.0,545.0,326,4,NTKO,"METRO CITY(Phase 2),Block 3,YAN KING RD|新都城2期,3座,欣景路"
