,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
9/F低層1,9,低層,1,2436876.0,6396.0,381.0,207,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
20/F中層1,20,中層,1,2507361.0,6581.0,381.0,210,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
29/F高層1,29,高層,1,2550795.0,6695.0,381.0,201,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
9/F低層10,9,低層,10,2436876.0,6396.0,381.0,207,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
20/F中層10,20,中層,10,2507361.0,6581.0,381.0,210,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
29/F高層10,29,高層,10,2550795.0,6695.0,381.0,201,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
9/F低層12,9,低層,12,2584260.0,5274.0,490.0,224,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
20/F中層12,20,中層,12,2669519.9999999995,5448.0,490.0,207,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
29/F高層12,29,高層,12,2740570.0,5593.0,490.0,194,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
9/F低層13,9,低層,13,2622970.0,5353.0,490.0,187,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
20/F中層13,20,中層,13,2706270.0,5523.0,490.0,176,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
29/F高層13,29,高層,13,2775850.0,5665.0,490.0,167,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
9/F低層14,9,低層,14,2412111.0,6331.0,381.0,235,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
20/F中層14,20,中層,14,2478786.0,6506.0,381.0,244,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
29/F高層14,29,高層,14,2520696.0,6616.0,381.0,239,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
9/F低層15,9,低層,15,2436876.0,6396.0,381.0,207,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
20/F中層15,20,中層,15,2507361.0,6581.0,381.0,210,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
29/F高層15,29,高層,15,2550795.0,6695.0,381.0,201,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
9/F低層16,9,低層,16,2430018.0,6378.0,381.0,249,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
20/F中層16,20,中層,16,2501265.0,6565.0,381.0,246,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
29/F高層16,29,高層,16,2547747.0,6687.0,381.0,233,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
9/F低層18,9,低層,18,2436876.0,6396.0,381.0,207,3,NTKO,"PO YAN HSE(Block 1,PO LAM EST),PO LAM RD N|寶林村,1座(寶仁樓),寶琳北路"
