,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
8.0/F低層A,8.0,低層,A,12221548,18716,653,303,4,NTKO,"THE WINGS IIIA(Block 1A),TONG YIN ST|天晉 IIIA1A座,唐賢街"
18.0/F中層A,18.0,中層,A,12583310,19270,653,309,4,NTKO,"THE WINGS IIIA(Block 1A),TONG YIN ST|天晉 IIIA1A座,唐賢街"
28.0/F高層A,28.0,高層,A,12850387,19679,653,350,4,NTKO,"THE WINGS IIIA(Block 1A),TONG YIN ST|天晉 IIIA1A座,唐賢街"
8.0/F低層B,8.0,低層,B,15817528,18808,841,197,2,NTKO,"THE WINGS IIIA(Block 1A),TONG YIN ST|天晉 IIIA1A座,唐賢街"
18.0/F中層B,18.0,中層,B,16291011,19371,841,173,2,NTKO,"THE WINGS IIIA(Block 1A),TONG YIN ST|天晉 IIIA1A座,唐賢街"
28.0/F高層B,28.0,高層,B,16758607,19927,841,143,2,NTKO,"THE WINGS IIIA(Block 1A),TONG YIN ST|天晉 IIIA1A座,唐賢街"
8.0/F低層C,8.0,低層,C,7218240,19776,365,342,3,NTKO,"THE WINGS IIIA(Block 1A),TONG YIN ST|天晉 IIIA1A座,唐賢街"
18.0/F中層C,18.0,中層,C,7435050,20370,365,392,3,NTKO,"THE WINGS IIIA(Block 1A),TONG YIN ST|天晉 IIIA1A座,唐賢街"
28.0/F高層C,28.0,高層,C,7533600,20640,365,327,3,NTKO,"THE WINGS IIIA(Block 1A),TONG YIN ST|天晉 IIIA1A座,唐賢街"
8.0/F低層D,8.0,低層,D,7338300,20050,366,390,4,NTKO,"THE WINGS IIIA(Block 1A),TONG YIN ST|天晉 IIIA1A座,唐賢街"
18.0/F中層D,18.0,中層,D,7676118,20973,366,334,3,NTKO,"THE WINGS IIIA(Block 1A),TONG YIN ST|天晉 IIIA1A座,唐賢街"
28.0/F高層D,28.0,高層,D,7813368,21348,366,330,3,NTKO,"THE WINGS IIIA(Block 1A),TONG YIN ST|天晉 IIIA1A座,唐賢街"
