,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
8.0/F低層A,8.0,低層,A,6417428,12247,524,332,3,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
20.0/F中層A,20.0,中層,A,6691480,12770,524,388,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
31.0/F高層A,31.0,高層,A,7136880,13620,524,376,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
8.0/F低層B,8.0,低層,B,6332550,12062,525,403,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
20.0/F中層B,20.0,中層,B,6521025,12421,525,370,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
31.0/F高層B,31.0,高層,B,6473775,12331,525,379,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
8.0/F低層C,8.0,低層,C,8808616,12424,709,327,3,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
20.0/F中層C,20.0,中層,C,9399922,13258,709,323,3,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
31.0/F高層C,31.0,高層,C,9555193,13477,709,378,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
8.0/F低層D,8.0,低層,D,6642246,12462,533,396,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
20.0/F中層D,20.0,中層,D,7034001,13197,533,398,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
31.0/F高層D,31.0,高層,D,7191236,13492,533,341,3,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
8.0/F低層E,8.0,低層,E,6648109,12473,533,433,3,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
20.0/F中層E,20.0,中層,E,6976437,13089,533,397,3,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
31.0/F高層E,31.0,高層,E,7315425,13725,533,356,3,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
8.0/F低層F,8.0,低層,F,8703684,12276,709,399,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
20.0/F中層F,20.0,中層,F,9231180,13020,709,377,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
31.0/F高層F,31.0,高層,F,9531796,13444,709,359,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
8.0/F低層G,8.0,低層,G,6478500,12340,525,389,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
20.0/F中層G,20.0,中層,G,6645975,12659,525,359,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
31.0/F高層G,31.0,高層,G,7217175,13747,525,348,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
8.0/F低層H,8.0,低層,H,6136040,11710,524,360,3,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
20.0/F中層H,20.0,中層,H,6660040,12710,524,393,4,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
31.0/F高層H,31.0,高層,H,7092340,13535,524,320,3,NTM,"CHELSEA HTS(Block 6),SHEK PAI TAU PATH|卓爾居6座,石排頭徑"
