,subjFloor,floorLv,unitNo,price,npsf,nfa
5.0/F低層A,5.0,低層,A,3581640,9949,360
12.0/F中層A,12.0,中層,A,3689280,10248,360
18.0/F高層A,18.0,高層,A,3751560,10421,360
5.0/F低層B,5.0,低層,B,3637600,9094,400
12.0/F中層B,12.0,中層,B,3746000,9365,400
18.0/F高層B,18.0,高層,B,3881600,9704,400
5.0/F低層C,5.0,低層,C,3703600,9259,400
12.0/F中層C,12.0,中層,C,3817200,9543,400
18.0/F高層C,18.0,高層,C,3915600,9789,400
5.0/F低層D,5.0,低層,D,3774000,9435,400
12.0/F中層D,12.0,中層,D,3880800,9702,400
18.0/F高層D,18.0,高層,D,3957600,9894,400
5.0/F低層E,5.0,低層,E,3662400,9156,400
12.0/F中層E,12.0,中層,E,3771200,9428,400
18.0/F高層E,18.0,高層,E,3907600,9769,400
5.0/F低層F,5.0,低層,F,3489480,9693,360
12.0/F中層F,12.0,中層,F,3598560,9996,360
18.0/F高層F,18.0,高層,F,3737160,10381,360
