,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2.0/F低層A,2.0,低層,A,8829928.0,10462.0,844.0,212,3,NTM,"PALM COVE(Block 2),CASTLE PEAK RD CASTLE PEAK BAY|翠濤居2座,青山公路青山灣段"
7.0/F中層A,7.0,中層,A,9012232.0,10678.0,844.0,221,3,NTM,"PALM COVE(Block 2),CASTLE PEAK RD CASTLE PEAK BAY|翠濤居2座,青山公路青山灣段"
11.0/F高層A,11.0,高層,A,9184408.0,10882.0,844.0,218,3,NTM,"PALM COVE(Block 2),CASTLE PEAK RD CASTLE PEAK BAY|翠濤居2座,青山公路青山灣段"
2.0/F低層B,2.0,低層,B,8468276.0,11276.0,751.0,174,2,NTM,"PALM COVE(Block 2),CASTLE PEAK RD CASTLE PEAK BAY|翠濤居2座,青山公路青山灣段"
7.0/F中層B,7.0,中層,B,8664287.0,11537.0,751.0,178,2,NTM,"PALM COVE(Block 2),CASTLE PEAK RD CASTLE PEAK BAY|翠濤居2座,青山公路青山灣段"
11.0/F高層B,11.0,高層,B,8863302.0,11802.0,751.0,202,2,NTM,"PALM COVE(Block 2),CASTLE PEAK RD CASTLE PEAK BAY|翠濤居2座,青山公路青山灣段"
2.0/F低層C,2.0,低層,C,7421544.000000001,10572.0,702.0,277,4,NTM,"PALM COVE(Block 2),CASTLE PEAK RD CASTLE PEAK BAY|翠濤居2座,青山公路青山灣段"
7.0/F中層C,7.0,中層,C,7567560.0,10780.0,702.0,291,4,NTM,"PALM COVE(Block 2),CASTLE PEAK RD CASTLE PEAK BAY|翠濤居2座,青山公路青山灣段"
11.0/F高層C,11.0,高層,C,7706556.0,10978.0,702.0,287,4,NTM,"PALM COVE(Block 2),CASTLE PEAK RD CASTLE PEAK BAY|翠濤居2座,青山公路青山灣段"
2.0/F低層D,2.0,低層,D,5697340.0,10340.0,551.0,326,3,NTM,"PALM COVE(Block 2),CASTLE PEAK RD CASTLE PEAK BAY|翠濤居2座,青山公路青山灣段"
7.0/F中層D,7.0,中層,D,5795969.0,10519.0,551.0,372,3,NTM,"PALM COVE(Block 2),CASTLE PEAK RD CASTLE PEAK BAY|翠濤居2座,青山公路青山灣段"
11.0/F高層D,11.0,高層,D,5883578.0,10678.0,551.0,330,3,NTM,"PALM COVE(Block 2),CASTLE PEAK RD CASTLE PEAK BAY|翠濤居2座,青山公路青山灣段"
