,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5/F低層1,5,低層,1,4751505.0,10923.0,435.0,328,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
14/F中層1,14,中層,1,4928985.0,11331.0,435.0,360,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
22/F高層1,22,高層,1,5076885.0,11671.0,435.0,357,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
5/F低層2,5,低層,2,4737983.0,10993.0,431.0,384,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
14/F中層2,14,中層,2,4914262.0,11402.0,431.0,354,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
22/F高層2,22,高層,2,5061664.0,11744.0,431.0,342,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
5/F低層3,5,低層,3,5469815.0,10621.0,515.0,342,4,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
14/F中層3,14,中層,3,5667575.0,11005.0,515.0,348,4,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
22/F高層3,22,高層,3,5724740.0,11116.0,515.0,369,4,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
5/F低層4,5,低層,4,4059260.0,11939.0,340.0,383,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
14/F中層4,14,中層,4,4241500.0,12475.0,340.0,336,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
22/F高層4,22,高層,4,4644400.0,13660.0,340.0,398,4,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
5/F低層5,5,低層,5,5510186.0,10658.0,517.0,431,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
14/F中層5,14,中層,5,5741802.0,11106.0,517.0,339,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
22/F高層5,22,高層,5,5828658.0,11274.0,517.0,322,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
5/F低層6,5,低層,6,4384640.0,12896.0,340.0,371,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
14/F中層6,14,中層,6,4561440.0,13416.0,340.0,381,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
22/F高層6,22,高層,6,4733140.0,13921.0,340.0,369,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
5/F低層7,5,低層,7,4777635.0,11085.0,431.0,352,4,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
14/F中層7,14,中層,7,5241822.0,12162.0,431.0,351,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
22/F高層7,22,高層,7,5098299.0,11829.0,431.0,377,4,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
5/F低層8,5,低層,8,4839810.0,11126.0,435.0,333,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
14/F中層8,14,中層,8,5021205.0,11543.0,435.0,371,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
22/F高層8,22,高層,8,5181720.0,11912.0,435.0,356,3,NTM,"TREND PLAZA(Block B),TUEN LUNG ST|時代廣場B座,屯隆街"
