,subjFloor,floorLv,unitNo,price,npsf,nfa
7.0/F低層1,7.0,低層,1,4219818,7617,554
18.0/F中層1,18.0,中層,1,4445850,8025,554
29.0/F高層1,29.0,高層,1,4674098,8437,554
7.0/F低層10,7.0,低層,10,3174717,7917,401
18.0/F中層10,18.0,中層,10,3568098,8898,401
29.0/F高層10,29.0,高層,10,3522384,8784,401
7.0/F低層2,7.0,低層,2,4236992,7648,554
18.0/F中層2,18.0,中層,2,4465240,8060,554
29.0/F高層2,29.0,高層,2,4695704,8476,554
7.0/F低層3,7.0,低層,3,3174717,7917,401
18.0/F中層3,18.0,中層,3,3347147,8347,401
29.0/F高層3,29.0,高層,3,3522384,8784,401
7.0/F低層4,7.0,低層,4,4873620,7556,645
18.0/F中層4,18.0,中層,4,5138715,7967,645
29.0/F高層4,29.0,高層,4,5401875,8375,645
7.0/F低層5,7.0,低層,5,3174717,7917,401
18.0/F中層5,18.0,中層,5,3347147,8347,401
29.0/F高層5,29.0,高層,5,3522384,8784,401
7.0/F低層6,7.0,低層,6,4229236,7634,554
18.0/F中層6,18.0,中層,6,4455268,8042,554
29.0/F高層6,29.0,高層,6,4684624,8456,554
7.0/F低層7,7.0,低層,7,4229236,7634,554
18.0/F中層7,18.0,中層,7,4455268,8042,554
29.0/F高層7,29.0,高層,7,4684624,8456,554
7.0/F低層8,7.0,低層,8,3174717,7917,401
18.0/F中層8,18.0,中層,8,3347147,8347,401
29.0/F高層8,29.0,高層,8,3522384,8784,401
7.0/F低層9,7.0,低層,9,4762035,7383,645
18.0/F中層9,18.0,中層,9,5003910,7758,645
29.0/F高層9,29.0,高層,9,5238045,8121,645
