,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
1/F低層A,1,低層,A,9176588.072683848,10987.0,959.0,212,2,NTP,"SAVANNA GARDEN(Block 44),TAI PO RD TAI PO KAU|翡翠花園44座,大埔公路大埔滘段"
4/F中層A,4,中層,A,9305212.316170998,11141.0,959.0,212,2,NTP,"SAVANNA GARDEN(Block 44),TAI PO RD TAI PO KAU|翡翠花園44座,大埔公路大埔滘段"
6/F高層A,6,高層,A,9391240.219282532,11244.0,959.0,207,2,NTP,"SAVANNA GARDEN(Block 44),TAI PO RD TAI PO KAU|翡翠花園44座,大埔公路大埔滘段"
1/F低層B,1,低層,B,9193292.51988997,11007.0,959.0,212,2,NTP,"SAVANNA GARDEN(Block 44),TAI PO RD TAI PO KAU|翡翠花園44座,大埔公路大埔滘段"
4/F中層B,4,中層,B,9090560.169572312,10884.0,959.0,363,3,NTP,"SAVANNA GARDEN(Block 44),TAI PO RD TAI PO KAU|翡翠花園44座,大埔公路大埔滘段"
6/F高層B,6,高層,B,11688101.710124489,13994.0,959.0,210,2,NTP,"SAVANNA GARDEN(Block 44),TAI PO RD TAI PO KAU|翡翠花園44座,大埔公路大埔滘段"
1/F低層C,1,低層,C,12995672.362286432,13455.0,1109.0,164,2,NTP,"SAVANNA GARDEN(Block 44),TAI PO RD TAI PO KAU|翡翠花園44座,大埔公路大埔滘段"
4/F中層C,4,中層,C,13174356.820630763,13640.0,1109.0,164,2,NTP,"SAVANNA GARDEN(Block 44),TAI PO RD TAI PO KAU|翡翠花園44座,大埔公路大埔滘段"
6/F高層C,6,高層,C,13293157.83888132,13763.0,1109.0,164,2,NTP,"SAVANNA GARDEN(Block 44),TAI PO RD TAI PO KAU|翡翠花園44座,大埔公路大埔滘段"
1/F低層D,1,低層,D,12213324.193319354,12645.0,1109.0,358,3,NTP,"SAVANNA GARDEN(Block 44),TAI PO RD TAI PO KAU|翡翠花園44座,大埔公路大埔滘段"
4/F中層D,4,中層,D,13199469.23099267,13666.0,1109.0,207,2,NTP,"SAVANNA GARDEN(Block 44),TAI PO RD TAI PO KAU|翡翠花園44座,大埔公路大埔滘段"
6/F高層D,6,高層,D,15399829.879325092,13426.0,1317.0,184,2,NTP,"SAVANNA GARDEN(Block 44),TAI PO RD TAI PO KAU|翡翠花園44座,大埔公路大埔滘段"
