,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層1,3.0,低層,1,5096400,12741,400,137,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
8.0/F中層1,8.0,中層,1,5216400,13041,400,139,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
13.0/F高層1,13.0,高層,1,5336000,13340,400,131,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
3.0/F低層2,3.0,低層,2,6281212,12292,511,78,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
8.0/F中層2,8.0,中層,2,6428891,12581,511,79,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
13.0/F高層2,13.0,高層,2,6576570,12870,511,74,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
3.0/F低層3,3.0,低層,3,6362940,12260,519,77,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
8.0/F中層3,8.0,中層,3,6512412,12548,519,78,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
13.0/F高層3,13.0,高層,3,6661884,12836,519,73,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
3.0/F低層4,3.0,低層,4,5077684,12758,398,91,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
8.0/F中層4,8.0,中層,4,5197084,13058,398,92,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
13.0/F高層4,13.0,高層,4,5316086,13357,398,87,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
3.0/F低層5,3.0,低層,5,5077684,12758,398,91,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
8.0/F中層5,8.0,中層,5,5197084,13058,398,92,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
13.0/F高層5,13.0,高層,5,5316086,13357,398,87,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
3.0/F低層6,3.0,低層,6,6453744,12223,528,77,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
8.0/F中層6,8.0,中層,6,6605808,12511,528,78,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
13.0/F高層6,13.0,高層,6,6757344,12798,528,73,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
3.0/F低層7,3.0,低層,7,6373120,12256,520,77,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
8.0/F中層7,8.0,中層,7,6623760,12738,520,228,2,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
13.0/F高層7,13.0,高層,7,6672640,12832,520,73,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
3.0/F低層8,3.0,低層,8,5096400,12741,400,91,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
8.0/F中層8,8.0,中層,8,5216400,13041,400,92,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
13.0/F高層8,13.0,高層,8,5336000,13340,400,87,1,NTP,"TREASURE GDN(Block B),ON CHEE RD|海寶花園B座,安慈路"
