,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層A,7.0,低層,A,6476371.0,9979.0,649.0,342,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
19.0/F中層A,19.0,中層,A,6782699.0,10451.0,649.0,358,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
31.0/F高層A,31.0,高層,A,7113040.000000001,10960.0,649.0,362,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
7.0/F低層B,7.0,低層,B,6067200.0,9480.0,640.0,355,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
19.0/F中層B,19.0,中層,B,6115840.0,9556.0,640.0,370,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
31.0/F高層B,31.0,高層,B,6272640.0,9801.0,640.0,341,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
7.0/F低層C,7.0,低層,C,5575013.0,10009.0,557.0,338,3,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
19.0/F中層C,19.0,中層,C,5776090.0,10370.0,557.0,368,3,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
31.0/F高層C,31.0,高層,C,5957672.0,10696.0,557.0,348,3,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
7.0/F低層D,7.0,低層,D,5215617.0,9297.0,561.0,338,3,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
19.0/F中層D,19.0,中層,D,5689662.0,10142.0,561.0,323,3,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
31.0/F高層D,31.0,高層,D,5731776.0,10272.0,558.0,387,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
7.0/F低層E,7.0,低層,E,4757246.0,10387.0,458.0,344,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
19.0/F中層E,19.0,中層,E,4894646.0,10687.0,458.0,374,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
31.0/F高層E,31.0,高層,E,5069144.0,11068.0,458.0,392,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
7.0/F低層F,7.0,低層,F,4710160.0,10352.0,455.0,339,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
19.0/F中層F,19.0,中層,F,4936295.0,10849.0,455.0,390,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
31.0/F高層F,31.0,高層,F,5080075.0,11165.0,455.0,379,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
7.0/F低層G,7.0,低層,G,5556075.0,9975.0,557.0,403,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
19.0/F中層G,19.0,中層,G,5666361.0,10173.0,557.0,406,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
31.0/F高層G,31.0,高層,G,5821764.000000001,10452.0,557.0,395,4,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
7.0/F低層H,7.0,低層,H,5580828.0,9948.0,561.0,342,3,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
19.0/F中層H,19.0,中層,H,5759118.000000001,10321.0,558.0,338,3,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
31.0/F高層H,31.0,高層,H,5885226.0,10547.0,558.0,363,3,NTSW,"SHERWOOD COURT(Block 4,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,4座(賞湖居),天湖路"
