,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7/F低層1,7,低層,1,4560400.0,7016.0,650.0,395,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
21/F中層1,21,中層,1,4804800.0,7392.0,650.0,382,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
34/F高層1,34,高層,1,4785950.0,7363.0,650.0,344,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
7/F低層2,7,低層,2,4105400.0,6316.0,650.0,335,3,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
21/F中層2,21,中層,2,4379700.0,6738.0,650.0,364,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
34/F高層2,34,高層,2,4795050.0,7377.0,650.0,314,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
7/F低層3,7,低層,3,3589058.0,7093.0,506.0,360,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
21/F中層3,21,中層,3,3662934.0,7239.0,506.0,394,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
34/F高層3,34,高層,3,3850660.0,7610.0,506.0,382,3,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
7/F低層4,7,低層,4,3644212.0,7202.0,506.0,391,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
21/F中層4,21,中層,4,3690764.0,7294.0,506.0,334,3,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
34/F高層4,34,高層,4,3835986.0,7581.0,506.0,331,3,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
7/F低層5,7,低層,5,4426500.0,6810.0,650.0,340,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
21/F中層5,21,中層,5,4735250.0,7285.0,650.0,340,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
34/F高層5,34,高層,5,4743700.0,7298.0,650.0,343,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
7/F低層6,7,低層,6,4373850.0,6729.0,650.0,364,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
21/F中層6,21,中層,6,4748250.0,7305.0,650.0,335,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
34/F高層6,34,高層,6,4888000.0,7520.0,650.0,339,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
7/F低層7,7,低層,7,3573878.0,7063.0,506.0,351,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
21/F中層7,21,中層,7,3730232.0,7372.0,506.0,380,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
34/F高層7,34,高層,7,3906826.0,7721.0,506.0,326,3,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
7/F低層8,7,低層,8,3677102.0,7267.0,506.0,358,3,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
21/F中層8,21,中層,8,3795506.0,7501.0,506.0,352,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
34/F高層8,34,高層,8,3962486.0,7831.0,506.0,342,4,NTSW,"SHING LAI HSE(Block R,Phase 3,TIN SHING COURT),3 TIN CHING ST|天盛苑,3期,R座(盛麗閣),3 天靖街"
