,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7/F低層A,7,低層,A,3393199.649811948,12565.0,290.0,371,4,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
13/F中層A,13,中層,A,3460442.523890991,12814.0,290.0,386,4,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
19/F高層A,19,高層,A,3532006.225220093,13079.0,290.0,376,4,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
7/F低層B,7,低層,B,3530279.9999999995,11388.0,310.0,241,3,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
13/F中層B,13,中層,B,3600960.0,11616.0,310.0,252,3,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
19/F高層B,19,高層,B,3670710.0,11841.0,310.0,238,3,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
7/F低層C,7,低層,C,3426118.0212105657,12775.0,288.0,271,3,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
13/F中層C,13,中層,C,3547607.7639587754,13228.0,288.0,353,3,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
19/F高層C,19,高層,C,3570940.2311090943,13315.0,288.0,281,3,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
7/F低層CD,7,低層,CD,7480972.130287604,11746.0,593.0,248,5,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
13/F中層CD,13,中層,CD,7617904.618625067,11961.0,593.0,250,5,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
19/F高層CD,19,高層,CD,7756110.897551715,12178.0,593.0,244,5,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
7/F低層D,7,低層,D,3611312.9607268334,12715.0,305.0,318,4,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
13/F中層D,13,中層,D,3688850.3919716952,12988.0,305.0,335,4,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
19/F高層D,19,高層,D,3768659.9823739165,13269.0,305.0,340,4,NTW,"CHAU HOP SHING BLDG,CHUNG ON ST|周合成大廈,眾安街"
