,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6/F低層A,6,低層,A,6362760.0,9357.0,680.0,354,3,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
16/F中層A,16,中層,A,6681680.0,9826.0,680.0,379,3,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
27/F高層A,27,高層,A,6953680.0,10226.0,680.0,339,3,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
6/F低層B,6,低層,B,4867790.0,10357.0,470.0,345,3,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
16/F中層B,16,中層,B,5057670.0,10761.0,470.0,388,3,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
27/F高層B,27,高層,B,5286560.0,11248.0,470.0,361,3,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
6/F低層C,6,低層,C,4514820.0,9606.0,470.0,356,3,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
16/F中層C,16,中層,C,4722090.0,10047.0,470.0,389,3,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
27/F高層C,27,高層,C,5018660.0,10678.0,470.0,358,3,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
6/F低層D,6,低層,D,6412400.000000001,9430.0,680.0,307,4,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
16/F中層D,16,中層,D,6654480.0,9786.0,680.0,322,4,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
27/F高層D,27,高層,D,7421520.0,10914.0,680.0,320,4,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
6/F低層E,6,低層,E,6431440.0,9458.0,680.0,306,4,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
16/F中層E,16,中層,E,6699360.0,9852.0,680.0,351,4,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
27/F高層E,27,高層,E,7429680.0,10926.0,680.0,345,4,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
6/F低層F,6,低層,F,5104670.0,10861.0,470.0,387,3,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
16/F中層F,16,中層,F,5379620.0,11446.0,470.0,376,3,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
27/F高層F,27,高層,F,5676660.0,12078.0,470.0,393,3,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
6/F低層G,6,低層,G,4715980.0,10034.0,470.0,378,4,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
16/F中層G,16,中層,G,4890350.0,10405.0,470.0,402,4,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
27/F高層G,27,高層,G,5422860.0,11538.0,470.0,377,4,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
6/F低層H,6,低層,H,6553160.0,9637.0,680.0,343,5,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
16/F中層H,16,中層,H,6685080.0,9831.0,680.0,318,4,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
27/F高層H,27,高層,H,7421520.0,10914.0,680.0,320,4,NTW,"GREENVIEW COURT(Block 2),CASTLE PEAK RD TSUEN WAN|翠濤閣2座,青山公路荃灣段"
