,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6/F低層1,6,低層,1,7061406.000000001,12133.0,582.0,350,3,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
16/F中層1,16,中層,1,7050348.0,12114.0,582.0,328,3,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
25/F高層1,25,高層,1,7340766.0,12613.0,582.0,355,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
6/F低層2,6,低層,2,5626868.0,12532.0,449.0,355,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
16/F中層2,16,中層,2,5842387.999999999,13012.0,449.0,374,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
25/F高層2,25,高層,2,6136483.0,13667.0,449.0,369,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
6/F低層3,6,低層,3,5462983.0,12167.0,449.0,347,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
16/F中層3,16,中層,3,5814101.0,12949.0,449.0,359,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
25/F高層3,25,高層,3,6015253.0,13397.0,449.0,337,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
6/F低層4,6,低層,4,7034849.999999999,12150.0,579.0,385,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
16/F中層4,16,中層,4,7429728.0,12832.0,579.0,327,3,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
25/F高層4,25,高層,4,7438412.999999999,12847.0,579.0,348,3,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
6/F低層5,6,低層,5,6911832.0,11876.0,582.0,390,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
16/F中層5,16,中層,5,7123098.0,12239.0,582.0,380,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
25/F高層5,25,高層,5,7536900.000000001,12950.0,582.0,363,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
6/F低層6,6,低層,6,5534842.0,12494.0,443.0,373,3,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
16/F中層6,16,中層,6,5819691.0,13137.0,443.0,333,3,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
25/F高層6,25,高層,6,6081061.0,13727.0,443.0,397,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
6/F低層7,6,低層,7,5442255.000000001,12285.0,443.0,378,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
16/F中層7,16,中層,7,5745710.0,12970.0,443.0,380,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
25/F高層7,25,高層,7,6027901.0,13607.0,443.0,366,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
6/F低層8,6,低層,8,6990984.0,12012.0,582.0,352,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
16/F中層8,16,中層,8,7209234.0,12387.0,582.0,361,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
25/F高層8,25,高層,8,7478117.999999999,12849.0,582.0,348,4,NTW,"LUK YEUNG SUN CHUEN(Block A),WAI TSUEN RD|綠楊新村A座,蕙荃路"
