,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7/F低層A,7,低層,A,5319999.999999999,8512.0,625.0,349,4,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
19/F中層A,19,中層,A,5518125.0,8829.0,625.0,335,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
31/F高層A,31,高層,A,5716250.0,9146.0,625.0,347,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
7/F低層B,7,低層,B,5035683.0,11019.0,457.0,326,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
19/F中層B,19,中層,B,5243617.999999999,11474.0,457.0,365,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
31/F高層B,31,高層,B,5340045.0,11685.0,457.0,355,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
7/F低層C,7,低層,C,4545658.0,9334.0,487.0,330,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
19/F中層C,19,中層,C,4727309.0,9707.0,487.0,351,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
31/F高層C,31,高層,C,4914804.0,10092.0,487.0,341,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
7/F低層D,7,低層,D,4412727.0,9251.0,477.0,349,4,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
19/F中層D,19,中層,D,4806729.0,10077.0,477.0,340,4,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
31/F高層D,31,高層,D,5300424.0,11112.0,477.0,355,4,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
7/F低層E,7,低層,E,4330532.0,9476.0,457.0,330,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
19/F中層E,19,中層,E,4638093.0,10149.0,457.0,326,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
31/F高層E,31,高層,E,4816780.0,10540.0,457.0,336,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
7/F低層F,7,低層,F,4488330.0,9570.0,469.0,330,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
19/F中層F,19,中層,F,4545548.0,9692.0,469.0,388,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
31/F高層F,31,高層,F,4932004.0,10516.0,469.0,337,3,NTW,"SEA CREST VILLA(Phase 1),Block 3,CASTLE PEAK RD TSING LUNG TAU|浪翠園1期,3座,青山公路青龍頭段"
