,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
16.0/F低層A,16.0,低層,A,8483544.0,16252.0,522.0,368,3,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
28.0/F中層A,28.0,中層,A,8784216.0,16828.0,522.0,377,3,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
40.0/F高層A,40.0,高層,A,9202860.0,17630.0,522.0,394,3,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
16.0/F低層B,16.0,低層,B,8785384.0,16766.0,524.0,381,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
28.0/F中層B,28.0,中層,B,9055244.0,17281.0,524.0,375,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
40.0/F高層B,40.0,高層,B,9341348.0,17827.0,524.0,355,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
16.0/F低層C,16.0,低層,C,8898912.0,16854.0,528.0,404,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
28.0/F中層C,28.0,中層,C,9237360.0,17495.0,528.0,370,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
40.0/F高層C,40.0,高層,C,9318144.0,17648.0,528.0,338,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
16.0/F低層CD,16.0,低層,CD,20339096.0,16837.0,1208.0,267,5,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
28.0/F中層CD,28.0,中層,CD,21078392.0,17449.0,1208.0,275,5,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
40.0/F高層CD,40.0,高層,CD,21963856.0,18182.0,1208.0,283,5,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
16.0/F低層D,16.0,低層,D,11322936.0,16554.0,684.0,365,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
28.0/F中層D,28.0,中層,D,11485044.0,16791.0,684.0,375,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
40.0/F高層D,40.0,高層,D,12147156.0,17759.0,684.0,388,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
16.0/F低層E,16.0,低層,E,10510344.0,15366.0,684.0,391,3,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
28.0/F中層E,28.0,中層,E,10935108.0,15987.0,684.0,358,3,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
40.0/F高層E,40.0,高層,E,11879028.0,17367.0,684.0,325,3,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
16.0/F低層EF,16.0,低層,EF,22971585.0,16829.0,1365.0,204,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
28.0/F中層EF,28.0,中層,EF,24126375.0,17675.0,1365.0,198,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
40.0/F高層EF,40.0,高層,EF,25384905.0,18597.0,1365.0,174,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
16.0/F低層F,16.0,低層,F,10917792.0,16032.0,681.0,392,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
28.0/F中層F,28.0,中層,F,11297790.0,16590.0,681.0,386,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
40.0/F高層F,40.0,高層,F,11848038.0,17398.0,681.0,324,3,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
16.0/F低層G,16.0,低層,G,10720302.0,15742.0,681.0,368,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
28.0/F中層G,28.0,中層,G,11300514.0,16594.0,681.0,363,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
40.0/F高層G,40.0,高層,G,11777214.0,17294.0,681.0,380,4,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
16.0/F低層H,16.0,低層,H,9087176.0,17276.0,526.0,394,3,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
28.0/F中層H,28.0,中層,H,9429602.0,17927.0,526.0,352,3,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
40.0/F高層H,40.0,高層,H,9724162.0,18487.0,526.0,323,3,NTY,"TIERRA VERDE(Phase 2),Block 7,TSING KING RD|盈翠半島2期,7座,青敬路"
