,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
8/F低層A,8,低層,A,7403064.999999999,14155.0,523.0,385,4,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
20/F中層A,20,中層,A,7726802.0,14774.0,523.0,361,4,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
33/F高層A,33,高層,A,8249802.000000001,15774.0,523.0,350,4,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
8/F低層B,8,低層,B,7543752.0,14424.0,523.0,356,3,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
20/F中層B,20,中層,B,7566241.0,14467.0,523.0,329,3,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
33/F高層B,33,高層,B,8004515.000000001,15305.0,523.0,376,4,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
8/F低層C,8,低層,C,9526275.0,14113.0,675.0,382,4,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
20/F中層C,20,中層,C,9971445.0,14905.0,669.0,391,4,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
33/F高層C,33,高層,C,10275839.999999998,15360.0,669.0,389,4,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
8/F低層D,8,低層,D,9215040.0,13920.0,662.0,334,3,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
20/F中層D,20,中層,D,9597014.0,14497.0,662.0,375,3,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
33/F高層D,33,高層,D,10076302.0,15221.0,662.0,336,3,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
8/F低層E,8,低層,E,8951564.0,13522.0,662.0,369,3,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
20/F中層E,20,中層,E,9287198.0,14029.0,662.0,351,3,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
33/F高層E,33,高層,E,9626142.0,14541.0,662.0,334,3,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
8/F低層F,8,低層,F,9349596.0,13669.0,684.0,381,4,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
20/F中層F,20,中層,F,9638952.0,14408.0,669.0,369,4,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
33/F高層F,33,高層,F,10095879.0,15091.0,669.0,347,4,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
8/F低層G,8,低層,G,11674685.0,13915.0,839.0,367,4,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
20/F中層G,20,中層,G,12166671.0,14641.0,831.0,390,4,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
33/F高層G,33,高層,G,12629538.0,15198.0,831.0,408,4,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
8/F低層H,8,低層,H,12214821.0,14253.0,857.0,324,3,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
20/F中層H,20,中層,H,12326223.0,14833.0,831.0,349,3,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
33/F高層H,33,高層,H,12762498.0,15358.0,831.0,363,3,NTY,"VILLA ESPLANADA(Phase 1),Block 2,NGA YING CHAU ST|灝景灣1期,2座,牙鷹洲街"
