,subjFloor,floorLv,unitNo,price,npsf,nfa
8.0/F低層1,8.0,低層,1,4012586,12658,317
16.0/F中層1,16.0,中層,1,4246849,13397,317
25.0/F高層1,25.0,高層,1,4136616,13928,297
8.0/F低層2,8.0,低層,2,3314564,11671,284
16.0/F中層2,16.0,中層,2,3399480,11970,284
25.0/F高層2,25.0,高層,2,3566756,12559,284
8.0/F低層3,8.0,低層,3,3787992,13338,284
16.0/F中層3,16.0,中層,3,3941920,13880,284
25.0/F高層3,25.0,高層,3,4114592,14488,284
8.0/F低層4,8.0,低層,4,3838131,12923,297
16.0/F中層4,16.0,中層,4,4060287,13671,297
25.0/F高層4,25.0,高層,4,4000590,13470,297
8.0/F低層5,8.0,低層,5,3923370,13210,297
16.0/F中層5,16.0,中層,5,4112262,13846,297
25.0/F高層5,25.0,高層,5,4078839,12867,317
8.0/F低層6,8.0,低層,6,4301460,10390,414
16.0/F中層6,16.0,中層,6,4498110,10865,414
25.0/F高層6,25.0,高層,6,4720842,11403,414
8.0/F低層7,8.0,低層,7,4276206,10329,414
16.0/F中層7,16.0,中層,7,4458366,10769,414
25.0/F高層7,25.0,高層,7,4684824,11316,414
8.0/F低層8,8.0,低層,8,3654288,12304,297
16.0/F中層8,16.0,中層,8,3788829,12757,297
25.0/F高層8,25.0,高層,8,3981879,13407,297
