,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2/F低層A,2,低層,A,5463675.982458195,6229.0,809.0,134,1,NYL,"JASPER COURT(Block 1),MA FUNG LING RD|瑋珊園1座,孖峰嶺路"
2/F中層A,2,中層,A,5463675.982458195,6229.0,809.0,134,1,NYL,"JASPER COURT(Block 1),MA FUNG LING RD|瑋珊園1座,孖峰嶺路"
4/F高層A,4,高層,A,5520689.779032248,6294.0,809.0,137,1,NYL,"JASPER COURT(Block 1),MA FUNG LING RD|瑋珊園1座,孖峰嶺路"
2/F低層B,2,低層,B,5087057.4901247695,5814.0,807.0,239,2,NYL,"JASPER COURT(Block 1),MA FUNG LING RD|瑋珊園1座,孖峰嶺路"
2/F中層B,2,中層,B,5087057.4901247695,5814.0,807.0,239,2,NYL,"JASPER COURT(Block 1),MA FUNG LING RD|瑋珊園1座,孖峰嶺路"
4/F高層B,4,高層,B,5508791.5304137515,6296.0,807.0,91,1,NYL,"JASPER COURT(Block 1),MA FUNG LING RD|瑋珊園1座,孖峰嶺路"
2/F低層C,2,低層,C,5446036.780091298,6232.0,806.0,89,1,NYL,"JASPER COURT(Block 1),MA FUNG LING RD|瑋珊園1座,孖峰嶺路"
2/F中層C,2,中層,C,5446036.780091298,6232.0,806.0,89,1,NYL,"JASPER COURT(Block 1),MA FUNG LING RD|瑋珊園1座,孖峰嶺路"
4/F高層C,4,高層,C,5502839.15343949,6297.0,806.0,91,1,NYL,"JASPER COURT(Block 1),MA FUNG LING RD|瑋珊園1座,孖峰嶺路"
2/F低層D,2,低層,D,4528459.979851268,5182.0,806.0,126,1,NYL,"JASPER COURT(Block 1),MA FUNG LING RD|瑋珊園1座,孖峰嶺路"
2/F中層D,2,中層,D,4528459.979851268,5182.0,806.0,126,1,NYL,"JASPER COURT(Block 1),MA FUNG LING RD|瑋珊園1座,孖峰嶺路"
4/F高層D,4,高層,D,4574775.761196718,5235.0,806.0,126,1,NYL,"JASPER COURT(Block 1),MA FUNG LING RD|瑋珊園1座,孖峰嶺路"
