,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層A,3.0,低層,A,5662391,11081,511,388,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
7.0/F中層A,7.0,中層,A,5772256,11296,511,433,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
10.0/F高層A,10.0,高層,A,5862192,11472,511,404,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
3.0/F低層B,3.0,低層,B,6096948,10659,572,410,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
7.0/F中層B,7.0,中層,B,6255964,10937,572,428,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
10.0/F高層B,10.0,高層,B,6309732,11031,572,409,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
3.0/F低層C,3.0,低層,C,5771160,11730,492,336,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
7.0/F中層C,7.0,中層,C,5772636,11733,492,380,4,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
10.0/F高層C,10.0,高層,C,5732292,11651,492,378,4,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
3.0/F低層D,3.0,低層,D,8253830,11245,734,311,4,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
7.0/F中層D,7.0,中層,D,8316954,11331,734,319,4,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
10.0/F高層D,10.0,高層,D,8460818,11527,734,317,4,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
3.0/F低層E,3.0,低層,E,5326776,10569,504,387,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
7.0/F中層E,7.0,中層,E,5889240,11685,504,376,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
10.0/F高層E,10.0,高層,E,5982480,11870,504,378,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
3.0/F低層F,3.0,低層,F,5621567,11311,497,364,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
7.0/F中層F,7.0,中層,F,5731901,11533,497,368,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
10.0/F高層F,10.0,高層,F,5813409,11697,497,367,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
3.0/F低層G,3.0,低層,G,5858816,11443,512,337,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
7.0/F中層G,7.0,中層,G,5913600,11550,512,390,4,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
10.0/F高層G,10.0,高層,G,5910016,11543,512,345,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
3.0/F低層H,3.0,低層,H,5853389,11107,527,381,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
7.0/F中層H,7.0,中層,H,6064716,11508,527,361,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
10.0/F高層H,10.0,高層,H,6159049,11687,527,361,3,NYL,"PARK NARA(Block 1),HUNG YUEN RD|泉薈1座,洪元路"
