,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2.0/F低層A,2.0,低層,A,2131385,7585,281,77,1,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
2.0/F中層A,2.0,中層,A,2131385,7585,281,77,1,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
3.0/F高層A,3.0,高層,A,2141782,7622,281,78,1,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
2.0/F低層B,2.0,低層,B,2155140,7982,270,165,2,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
2.0/F中層B,2.0,中層,B,2155140,7982,270,165,2,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
3.0/F高層B,3.0,高層,B,2181330,8079,270,226,2,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
2.0/F低層C,2.0,低層,C,2601801,10449,249,150,1,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
2.0/F中層C,2.0,中層,C,2601801,10449,249,150,1,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
3.0/F高層C,3.0,高層,C,2614500,10500,249,91,1,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
2.0/F低層D,2.0,低層,D,2372853,7581,313,276,2,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
2.0/F中層D,2.0,中層,D,2372853,7581,313,276,2,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
3.0/F高層D,3.0,高層,D,2348752,7504,313,240,2,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
2.0/F低層E,2.0,低層,E,2096094,7678,273,75,1,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
2.0/F中層E,2.0,中層,E,2096094,7678,273,75,1,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
3.0/F高層E,3.0,高層,E,2106468,7716,273,76,1,NYL,"SHUN HING BLDG,HOP YICK RD|順興大廈,合益路"
