,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層A,3.0,低層,A,3361170.577518753,11260.0,297,230,3,KYMT,1-5A HAMILTON ST|1-5A 咸美頓街
5.0/F中層A,5.0,中層,A,3411020.97595975,11427.0,297,231,3,KYMT,1-5A HAMILTON ST|1-5A 咸美頓街
7.0/F高層A,7.0,高層,A,3424453.71805463,11472.0,297,289,3,KYMT,1-5A HAMILTON ST|1-5A 咸美頓街
3.0/F低層C,3.0,低層,C,3309064.520999747,5936.0,297,344,3,KYMT,1-5A HAMILTON ST|1-5A 咸美頓街
5.0/F中層C,5.0,中層,C,3350125.878462963,11223.0,297,293,3,KYMT,1-5A HAMILTON ST|1-5A 咸美頓街
7.0/F高層C,7.0,高層,C,3411636.6018393617,6120.0,297,344,3,KYMT,1-5A HAMILTON ST|1-5A 咸美頓街
3.0/F低層D,3.0,低層,D,2893800.0,11130.0,260,175,2,KYMT,1-5A HAMILTON ST|1-5A 咸美頓街
5.0/F中層D,5.0,中層,D,2939300.0,11305.0,260,179,2,KYMT,1-5A HAMILTON ST|1-5A 咸美頓街
7.0/F高層D,7.0,高層,D,2985060.0,11481.0,260,183,2,KYMT,1-5A HAMILTON ST|1-5A 咸美頓街
3.0/F低層E,3.0,低層,E,3080937.345128605,11790.0,260,294,3,KYMT,1-5A HAMILTON ST|1-5A 咸美頓街
5.0/F中層E,5.0,中層,E,3127451.920822659,11968.0,260,295,3,KYMT,1-5A HAMILTON ST|1-5A 咸美頓街
7.0/F高層E,7.0,高層,E,3171875.95378889,12138.0,260,293,3,KYMT,1-5A HAMILTON ST|1-5A 咸美頓街
