,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層A,3.0,低層,A,5801193.881531164,5173.0,315,318,3,HSW,11-13 OLD BAILEY ST|11-13 奧卑利街
4.0/F中層A,4.0,中層,A,5838201.30432075,5206.0,315,317,3,HSW,11-13 OLD BAILEY ST|11-13 奧卑利街
4.0/F高層A,4.0,高層,A,5838201.30432075,5206.0,315,317,3,HSW,11-13 OLD BAILEY ST|11-13 奧卑利街
3.0/F低層AB,3.0,低層,AB,16099128.718555454,23112.0,615,128,1,HSW,11-13 OLD BAILEY ST|11-13 奧卑利街
4.0/F中層AB,4.0,中層,AB,16209883.368358599,23271.0,615,129,1,HSW,11-13 OLD BAILEY ST|11-13 奧卑利街
4.0/F高層AB,4.0,高層,AB,16209883.368358599,23271.0,615,129,1,HSW,11-13 OLD BAILEY ST|11-13 奧卑利街
3.0/F低層B,3.0,低層,B,5603998.965868329,5161.0,305,320,3,HSW,11-13 OLD BAILEY ST|11-13 奧卑利街
4.0/F中層B,4.0,中層,B,5638745.713961293,5193.0,305,320,3,HSW,11-13 OLD BAILEY ST|11-13 奧卑利街
4.0/F高層B,4.0,高層,B,5638745.713961293,5193.0,305,320,3,HSW,11-13 OLD BAILEY ST|11-13 奧卑利街
3.0/F低層C,3.0,低層,C,5599865.669297025,5314.0,296,317,3,HSW,11-13 OLD BAILEY ST|11-13 奧卑利街
4.0/F中層C,4.0,中層,C,5635694.693150261,5348.0,296,316,3,HSW,11-13 OLD BAILEY ST|11-13 奧卑利街
4.0/F高層C,4.0,高層,C,5635694.693150261,5348.0,296,316,3,HSW,11-13 OLD BAILEY ST|11-13 奧卑利街
