,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2.0/F低層A,2.0,低層,A,2857911,9821,291,92,1,KMK,187 TAI KOK TSUI RD|187 大角咀道
2.0/F中層A,2.0,中層,A,2857911,9821,291,92,1,KMK,187 TAI KOK TSUI RD|187 大角咀道
3.0/F高層A,3.0,高層,A,2876244,9884,291,93,1,KMK,187 TAI KOK TSUI RD|187 大角咀道
2.0/F低層B,2.0,低層,B,2793210,9870,283,92,1,KMK,187 TAI KOK TSUI RD|187 大角咀道
2.0/F中層B,2.0,中層,B,2793210,9870,283,92,1,KMK,187 TAI KOK TSUI RD|187 大角咀道
3.0/F高層B,3.0,高層,B,2811322,9934,283,93,1,KMK,187 TAI KOK TSUI RD|187 大角咀道
2.0/F低層C,2.0,低層,C,1995084,10179,196,92,1,KMK,187 TAI KOK TSUI RD|187 大角咀道
2.0/F中層C,2.0,中層,C,1995084,10179,196,92,1,KMK,187 TAI KOK TSUI RD|187 大角咀道
3.0/F高層C,3.0,高層,C,2008020,10245,196,93,1,KMK,187 TAI KOK TSUI RD|187 大角咀道
2.0/F低層whole floor,2.0,低層,whole floor,,,864,,,KMK,187 TAI KOK TSUI RD|187 大角咀道
2.0/F中層whole floor,2.0,中層,whole floor,,,864,,,KMK,187 TAI KOK TSUI RD|187 大角咀道
3.0/F高層whole floor,3.0,高層,whole floor,,,864,,,KMK,187 TAI KOK TSUI RD|187 大角咀道
