,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
16.0/F低層A,16.0,低層,A,8710282.0,9478.0,919.0,393,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
36.0/F中層A,36.0,中層,A,9516245.0,10355.0,919.0,354,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
55.0/F高層A,55.0,高層,A,9919686.0,10794.0,919.0,388,4,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
16.0/F低層B,16.0,低層,B,7431903.0,9949.0,747.0,339,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
36.0/F中層B,36.0,中層,B,7675425.0,10275.0,747.0,389,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
55.0/F高層B,55.0,高層,B,8329050.0,11150.0,747.0,412,4,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
16.0/F低層C,16.0,低層,C,5925360.000000001,10581.0,560.0,392,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
36.0/F中層C,36.0,中層,C,6573840.0,11739.0,560.0,389,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
55.0/F高層C,55.0,高層,C,6980400.0,12465.0,560.0,343,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
16.0/F低層D,16.0,低層,D,6682103.999999999,10296.0,649.0,323,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
36.0/F中層D,36.0,中層,D,7325912.0,11288.0,649.0,407,4,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
55.0/F高層D,55.0,高層,D,7582916.000000001,11684.0,649.0,400,4,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
16.0/F低層E,16.0,低層,E,6108404.0,11026.0,554.0,322,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
36.0/F中層E,36.0,中層,E,5383218.0,9717.0,554.0,341,4,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
55.0/F高層E,55.0,高層,E,5833619.999999999,10530.0,554.0,322,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
16.0/F低層F,16.0,低層,F,6147679.999999999,10978.0,560.0,379,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
36.0/F中層F,36.0,中層,F,6670720.0,11912.0,560.0,362,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
55.0/F高層F,55.0,高層,F,6825840.0,12189.0,560.0,386,4,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
16.0/F低層G,16.0,低層,G,7497252.0,9917.0,756.0,367,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
36.0/F中層G,36.0,中層,G,8071056.000000001,10676.0,756.0,389,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
55.0/F高層G,55.0,高層,G,8489124.0,11229.0,756.0,382,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
16.0/F低層H,16.0,低層,H,8573834.0,9259.0,926.0,379,4,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
36.0/F中層H,36.0,中層,H,8863672.0,9572.0,926.0,346,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
55.0/F高層H,55.0,高層,H,9929498.0,10723.0,926.0,338,3,ISL,"ALBANY COVE(Block 7,Phase 2,CARIBBEAN COAST),1 KIN TUNG RD|映灣園,2期,7座(映濤軒),1 健東路"
