,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層1,7.0,低層,1,5511168.0,14976.0,368,367,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
18.0/F中層1,18.0,中層,1,5463850.0,15611.0,350,364,4,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
29.0/F高層1,29.0,高層,1,5894624.0,16018.0,368,338,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
7.0/F低層2,7.0,低層,2,4863120.0,13215.0,368,335,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
18.0/F中層2,18.0,中層,2,5712832.0,15524.0,368,399,4,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
29.0/F高層2,29.0,高層,2,5698700.0,16282.0,350,393,4,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
7.0/F低層3,7.0,低層,3,5262400.0,16445.0,320,342,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
18.0/F中層3,18.0,中層,3,5356800.0,16740.0,320,329,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
29.0/F高層3,29.0,高層,3,5480000.0,17125.0,320,388,4,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
7.0/F低層4,7.0,低層,4,5208640.0,16277.0,320,370,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
18.0/F中層4,18.0,中層,4,5318720.0,16621.0,320,388,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
29.0/F高層4,29.0,高層,4,5558400.0,17370.0,320,414,4,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
7.0/F低層5,7.0,低層,5,5525152.0,15014.0,368,409,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
18.0/F中層5,18.0,中層,5,5751472.0,15629.0,368,374,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
29.0/F高層5,29.0,高層,5,5821392.0,15819.0,368,356,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
7.0/F低層6,7.0,低層,6,5643648.0,15336.0,368,361,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
18.0/F中層6,18.0,中層,6,5892048.0,16011.0,368,374,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
29.0/F高層6,29.0,高層,6,6060960.0,16470.0,368,387,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
7.0/F低層7,7.0,低層,7,4676952.0,16296.0,287,354,4,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
18.0/F中層7,18.0,中層,7,4747554.0,16542.0,287,376,4,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
29.0/F高層7,29.0,高層,7,5049765.0,17595.0,287,377,4,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
7.0/F低層8,7.0,低層,8,4564448.0,15904.0,287,390,4,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
18.0/F中層8,18.0,中層,8,4727751.0,16473.0,287,405,4,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
29.0/F高層8,29.0,高層,8,5021065.0,17495.0,287,320,3,KNTK,"AMOY GARDENS(Phase 3),Block M,NGAU TAU KOK RD|淘大花園3期,M座,牛頭角道"
