,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
10.0/F低層A,10.0,低層,A,19124854.0,15349.0,1246,184,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
22.0/F中層A,22.0,中層,A,20131622.0,16157.0,1246,193,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
33.0/F高層A,33.0,高層,A,20995100.0,16850.0,1246,157,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
10.0/F低層B,10.0,低層,B,23804558.0,16979.0,1402,186,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
22.0/F中層B,22.0,中層,B,25060750.000000004,17875.0,1402,189,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
33.0/F高層B,33.0,高層,B,26158516.0,18658.0,1402,152,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
10.0/F低層C,10.0,低層,C,12733140.0,14910.0,854,229,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
22.0/F中層C,22.0,中層,C,13249809.999999998,15515.0,854,241,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
33.0/F高層C,33.0,高層,C,13823698.0,16187.0,854,229,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
10.0/F低層D,10.0,低層,D,5614056.0,13272.0,423,401,4,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
22.0/F中層D,22.0,中層,D,6219792.0,14704.0,423,380,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
33.0/F高層D,33.0,高層,D,5929191.0,14017.0,423,382,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
10.0/F低層E,10.0,低層,E,8522840.0,12004.0,710,333,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
22.0/F中層E,22.0,中層,E,8941740.0,12594.0,710,351,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
33.0/F高層E,33.0,高層,E,9261950.0,13045.0,710,352,3,KNCW,"ARIA(Block 6),FUNG SHING ST|峻弦6座,豐盛街"
