,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
4.0/F低層A,4.0,低層,A,10327856.0,14608.0,707.0,168,2,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
9.0/F中層A,9.0,中層,A,10913959.0,15437.0,707.0,178,2,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
14.0/F高層A,14.0,高層,A,11507839.0,16277.0,707.0,174,2,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
4.0/F低層B,4.0,低層,B,10246444.0,14807.0,692.0,211,2,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
9.0/F中層B,9.0,中層,B,10828416.0,15648.0,692.0,224,2,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
14.0/F高層B,14.0,高層,B,11418000.0,16500.0,692.0,219,2,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
4.0/F低層C,4.0,低層,C,16726160.0,18320.0,913.0,228,3,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
9.0/F中層C,9.0,中層,C,17692114.0,19378.0,913.0,243,3,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
14.0/F高層C,14.0,高層,C,18657155.0,20435.0,913.0,248,3,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
4.0/F低層D,4.0,低層,D,14557681.0,17603.0,827.0,244,3,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
9.0/F中層D,9.0,中層,D,15397913.0,18619.0,827.0,259,3,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
14.0/F高層D,14.0,高層,D,16238972.0,19636.0,827.0,264,3,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
4.0/F低層E,4.0,低層,E,14657748.0,17724.0,827.0,328,3,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
9.0/F中層E,9.0,中層,E,15505423.0,18749.0,827.0,348,3,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
14.0/F高層E,14.0,高層,E,16319191.0,19733.0,827.0,371,3,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
4.0/F低層F,4.0,低層,F,16726160.0,18320.0,913.0,228,3,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
9.0/F中層F,9.0,中層,F,17692114.0,19378.0,913.0,243,3,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
14.0/F高層F,14.0,高層,F,18657155.0,20435.0,913.0,248,3,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
4.0/F低層G,4.0,低層,G,10137108.0,14649.0,692.0,168,2,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
9.0/F中層G,9.0,中層,G,10712160.0,15480.0,692.0,178,2,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
14.0/F高層G,14.0,高層,G,11295516.0,16323.0,692.0,174,2,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
4.0/F低層H,4.0,低層,H,10215443.0,14449.0,707.0,210,2,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
9.0/F中層H,9.0,中層,H,10794476.0,15268.0,707.0,222,2,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
14.0/F高層H,14.0,高層,H,11381286.0,16098.0,707.0,217,2,KHH,"BANYAN MANSION(Block 4,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,4座(綠榕苑),8 環海街"
