,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
20/F低層A,20,低層,A,8457709.0,11027,767.0,321,3,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
40/F中層A,40,中層,A,8907171.0,11613,767.0,330,3,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
61/F高層A,61,高層,A,8750360.0,11320,773.0,391,4,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
20/F低層B,20,低層,B,10147914.0,11238,903.0,327,3,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
40/F中層B,40,中層,B,10629213.0,11771,903.0,377,4,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
61/F高層B,61,高層,B,10683000.0,11870,900.0,315,5,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
20/F低層C,20,低層,C,9972732.0,11044,903.0,362,4,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
40/F中層C,40,中層,C,10780014.0,11938,903.0,372,4,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
61/F高層C,61,高層,C,11124594.0,12402,897.0,339,4,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
20/F低層D,20,低層,D,9083581.0,11843,767.0,332,3,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
40/F中層D,40,中層,D,9585199.0,12497,767.0,340,3,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
61/F高層D,61,高層,D,9266649.0,12019,771.0,387,4,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
20/F低層E,20,低層,E,5585922.0,10701,522.0,378,4,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
40/F中層E,40,中層,E,5977422.0,11451,522.0,359,3,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
61/F高層E,61,高層,E,5914913.0,11353,521.0,354,3,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
20/F低層F,20,低層,F,5852151.0,11021,531.0,386,3,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
40/F中層F,40,中層,F,6283854.0,11834,531.0,411,3,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
61/F高層F,61,高層,F,6406876.0,12043,532.0,362,3,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
20/F低層G,20,低層,G,5729490.0,10790,531.0,344,3,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
40/F中層G,40,中層,G,6092163.0,11473,531.0,405,4,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
61/F高層G,61,高層,G,6363784.0,11962,532.0,381,4,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
20/F低層H,20,低層,H,5658480.0,10840,522.0,405,4,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
40/F中層H,40,中層,H,6020748.0,11534,522.0,411,4,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
61/F高層H,61,高層,H,6027970.0,11570,521.0,348,3,NTW,"BELLAGIO(Block 8),CASTLE PEAK RD SHAM TSENG|碧堤半島8座,青山公路深井段"
