,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
8.0/F低層A,8.0,低層,A,4564721.0,10591.0,431.0,382,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
22.0/F中層A,22.0,中層,A,4711261.0,10931.0,431.0,361,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
33.0/F高層A,33.0,高層,A,4850043.0,11253.0,431.0,342,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
8.0/F低層B,8.0,低層,B,4967776.0,10264.0,484.0,391,3,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
22.0/F中層B,22.0,中層,B,5170088.0,10682.0,484.0,350,3,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
33.0/F高層B,33.0,高層,B,5320128.0,10992.0,484.0,330,3,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
8.0/F低層C,8.0,低層,C,5883888.0,9939.0,592.0,326,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
22.0/F中層C,22.0,中層,C,6012944.0,10157.0,592.0,313,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
33.0/F高層C,33.0,高層,C,6267503.999999999,10587.0,592.0,306,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
8.0/F低層D,8.0,低層,D,5883888.0,9939.0,592.0,326,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
22.0/F中層D,22.0,中層,D,6012944.0,10157.0,592.0,313,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
33.0/F高層D,33.0,高層,D,6267503.999999999,10587.0,592.0,306,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
8.0/F低層E,8.0,低層,E,5024888.0,10382.0,484.0,396,3,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
22.0/F中層E,22.0,中層,E,5220424.0,10786.0,484.0,339,3,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
33.0/F高層E,33.0,高層,E,5344812.0,11043.0,484.0,382,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
8.0/F低層F,8.0,低層,F,4541016.0,10536.0,431.0,351,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
22.0/F中層F,22.0,中層,F,4710830.0,10930.0,431.0,359,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
33.0/F高層F,33.0,高層,F,4849181.0,11251.0,431.0,351,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
8.0/F低層G,8.0,低層,G,5883888.0,9939.0,592.0,326,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
22.0/F中層G,22.0,中層,G,6012944.0,10157.0,592.0,313,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
33.0/F高層G,33.0,高層,G,6267503.999999999,10587.0,592.0,306,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
8.0/F低層H,8.0,低層,H,5883888.0,9939.0,592.0,326,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
22.0/F中層H,22.0,中層,H,5914079.999999999,9990.0,592.0,323,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
33.0/F高層H,33.0,高層,H,6302432.0,10646.0,592.0,341,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
8.0/F低層J,8.0,低層,J,5497904.0,9287.0,592.0,326,3,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
22.0/F中層J,22.0,中層,J,5776144.0,9757.0,592.0,362,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
33.0/F高層J,33.0,高層,J,6128976.0,10353.0,592.0,339,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
8.0/F低層K,8.0,低層,K,5618080.0,9490.0,592.0,352,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
22.0/F中層K,22.0,中層,K,5866128.0,9909.0,592.0,381,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
33.0/F高層K,33.0,高層,K,6225472.0,10516.0,592.0,383,4,NTKO,"BEVERLY GARDEN(Phase 1),Block 3,TONG MING ST|富康花園1期,3座,唐明街"
