,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
3.0/F低層A,3.0,低層,A,5159915,10639,485,345,4,NTM
7.0/F中層A,7.0,中層,A,5274860,10876,485,361,4,NTM
10.0/F高層A,10.0,高層,A,5364100,11060,485,332,3,NTM
3.0/F低層B,3.0,低層,B,5329230,10470,509,381,4,NTM
7.0/F中層B,7.0,中層,B,5345009,10501,509,362,3,NTM
10.0/F高層B,10.0,高層,B,5557771,10919,509,395,4,NTM
3.0/F低層C,3.0,低層,C,5321595,10455,509,337,4,NTM
7.0/F中層C,7.0,中層,C,5535375,10875,509,355,4,NTM
10.0/F高層C,10.0,高層,C,5629540,11060,509,362,4,NTM
3.0/F低層D,3.0,低層,D,5137120,10592,485,347,4,NTM
7.0/F中層D,7.0,中層,D,5339365,11009,485,361,4,NTM
10.0/F高層D,10.0,高層,D,5431515,11199,485,366,4,NTM
3.0/F低層E,3.0,低層,E,4924205,10153,485,351,3,NTM
7.0/F中層E,7.0,中層,E,5119660,10556,485,372,4,NTM
10.0/F高層E,10.0,高層,E,5413570,11162,485,382,4,NTM
3.0/F低層F,3.0,低層,F,5366896,10544,509,315,4,NTM
7.0/F中層F,7.0,中層,F,5568460,10940,509,325,4,NTM
10.0/F高層F,10.0,高層,F,5626995,11055,509,336,4,NTM
3.0/F低層G,3.0,低層,G,5331266,10474,509,361,3,NTM
7.0/F中層G,7.0,中層,G,5524686,10854,509,326,3,NTM
10.0/F高層G,10.0,高層,G,5628013,11057,509,329,3,NTM
3.0/F低層H,3.0,低層,H,5150700,10620,485,311,4,NTM
7.0/F中層H,7.0,中層,H,5363615,11059,485,324,4,NTM
10.0/F高層H,10.0,高層,H,5418905,11173,485,336,4,NTM
