,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層A,3.0,低層,A,4517170,9611,470,357,4,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
8.0/F中層A,8.0,中層,A,4668040,9932,470,353,4,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
12.0/F高層A,12.0,高層,A,4787420,10186,470,343,4,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
3.0/F低層D,3.0,低層,D,3534000,11780,300,97,1,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
8.0/F中層D,8.0,中層,D,3648900,12163,300,96,1,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
12.0/F高層D,12.0,高層,D,3740700,12469,300,92,1,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
3.0/F低層E,3.0,低層,E,3347960,11957,280,92,1,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
8.0/F中層E,8.0,中層,E,2991600,9972,300,139,2,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
12.0/F高層E,12.0,高層,E,3067800,10226,300,132,2,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
3.0/F低層F.P.,3.0,低層,F.P.,4498840,9572,470,413,3,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
8.0/F中層F.P.,8.0,中層,F.P.,4650180,9894,470,408,3,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
12.0/F高層F.P.,12.0,高層,F.P.,4770500,10150,470,399,3,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
3.0/F低層R.P.,3.0,低層,R.P.,3534000,11780,300,145,1,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
8.0/F中層R.P.,8.0,中層,R.P.,3648900,12163,300,144,1,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
12.0/F高層R.P.,12.0,高層,R.P.,3740700,12469,300,138,1,KCSW,"CHENG FAI BLDG,CHEUNG SHA WAN RD|正輝大樓,長沙灣道"
