,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層A,3.0,低層,A,9422563.353020657,8434.0,984,334,3,KKT,"CHI HANG BLDG,HIP WO ST|志恆樓,協和街"
7.0/F中層A,7.0,中層,A,9639302.419950465,8628.0,984,338,3,KKT,"CHI HANG BLDG,HIP WO ST|志恆樓,協和街"
10.0/F高層A,10.0,高層,A,9801298.114305219,8773.0,984,339,3,KKT,"CHI HANG BLDG,HIP WO ST|志恆樓,協和街"
3.0/F低層B,3.0,低層,B,10824664.017953184,9689.0,984,293,3,KKT,"CHI HANG BLDG,HIP WO ST|志恆樓,協和街"
7.0/F中層B,7.0,中層,B,11025762.12129012,9869.0,984,304,3,KKT,"CHI HANG BLDG,HIP WO ST|志恆樓,協和街"
10.0/F高層B,10.0,高層,B,11160944.735199947,9990.0,984,304,3,KKT,"CHI HANG BLDG,HIP WO ST|志恆樓,協和街"
3.0/F低層C,3.0,低層,C,7520605.830688029,9741.0,680,211,3,KKT,"CHI HANG BLDG,HIP WO ST|志恆樓,協和街"
7.0/F中層C,7.0,中層,C,7663436.348979506,9926.0,680,221,3,KKT,"CHI HANG BLDG,HIP WO ST|志恆樓,協和街"
10.0/F高層C,10.0,高層,C,7758399.342221947,10049.0,680,222,3,KKT,"CHI HANG BLDG,HIP WO ST|志恆樓,協和街"
3.0/F低層D,3.0,低層,D,6855092.821135305,8879.0,680,305,3,KKT,"CHI HANG BLDG,HIP WO ST|志恆樓,協和街"
7.0/F中層D,7.0,中層,D,7012592.419683745,9083.0,680,309,3,KKT,"CHI HANG BLDG,HIP WO ST|志恆樓,協和街"
10.0/F高層D,10.0,高層,D,7127628.891172557,9232.0,680,309,3,KKT,"CHI HANG BLDG,HIP WO ST|志恆樓,協和街"
