,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層1,7.0,低層,1,7424300,11422,650,344,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
19.0/F中層1,19.0,中層,1,7123350,10959,650,281,3,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
31.0/F高層1,31.0,高層,1,7424300,11422,650,245,3,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
7.0/F低層2,7.0,低層,2,7410650,11401,650,386,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
19.0/F中層2,19.0,中層,2,7703150,11851,650,392,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
31.0/F高層2,31.0,高層,2,7951450,12233,650,351,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
7.0/F低層3,7.0,低層,3,5967764,11794,506,306,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
19.0/F中層3,19.0,中層,3,6068964,11994,506,318,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
31.0/F高層3,31.0,高層,3,6397864,12644,506,349,5,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
7.0/F低層4,7.0,低層,4,5927284,11714,506,334,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
19.0/F中層4,19.0,中層,4,6068458,11993,506,356,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
31.0/F高層4,31.0,高層,4,6311844,12474,506,341,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
7.0/F低層5,7.0,低層,5,7421050,11417,650,363,3,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
19.0/F中層5,19.0,中層,5,7706400,11856,650,339,3,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
31.0/F高層5,31.0,高層,5,8017750,12335,650,371,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
7.0/F低層6,7.0,低層,6,7424300,11422,650,344,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
19.0/F中層6,19.0,中層,6,7718100,11874,650,344,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
31.0/F高層6,31.0,高層,6,7959250,12245,650,306,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
7.0/F低層7,7.0,低層,7,5942464,11744,506,350,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
19.0/F中層7,19.0,中層,7,6059350,11975,506,369,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
31.0/F高層7,31.0,高層,7,6301724,12454,506,342,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
7.0/F低層8,7.0,低層,8,5967764,11794,506,306,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
19.0/F中層8,19.0,中層,8,6068964,11994,506,318,4,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
31.0/F高層8,31.0,高層,8,6397864,12644,506,349,5,NTY,"CHING WANG COURT(Block B),NGA YING CHAU ST|青宏苑B座,牙鷹洲街"
