,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2.0/F低層A,2.0,低層,A,5525968.090120462,2788.0,636.0,333,3,NYL,"CURIO COURT(Block 5),PING HONG LANE|寶珊園5座,屏康里"
2.0/F中層A,2.0,中層,A,5525968.090120462,2788.0,636.0,333,3,NYL,"CURIO COURT(Block 5),PING HONG LANE|寶珊園5座,屏康里"
4.0/F高層A,4.0,高層,A,5581465.617567871,2816.0,636.0,328,3,NYL,"CURIO COURT(Block 5),PING HONG LANE|寶珊園5座,屏康里"
2.0/F低層B,2.0,低層,B,5533896.308327235,2792.0,636.0,285,3,NYL,"CURIO COURT(Block 5),PING HONG LANE|寶珊園5座,屏康里"
2.0/F中層B,2.0,中層,B,5533896.308327235,2792.0,636.0,285,3,NYL,"CURIO COURT(Block 5),PING HONG LANE|寶珊園5座,屏康里"
4.0/F高層B,4.0,高層,B,5589393.835774642,2820.0,636.0,281,3,NYL,"CURIO COURT(Block 5),PING HONG LANE|寶珊園5座,屏康里"
2.0/F低層C,2.0,低層,C,5539842.471982314,2795.0,636.0,381,3,NYL,"CURIO COURT(Block 5),PING HONG LANE|寶珊園5座,屏康里"
2.0/F中層C,2.0,中層,C,5539842.471982314,2795.0,636.0,381,3,NYL,"CURIO COURT(Block 5),PING HONG LANE|寶珊園5座,屏康里"
4.0/F高層C,4.0,高層,C,5597322.053981415,2824.0,636.0,376,3,NYL,"CURIO COURT(Block 5),PING HONG LANE|寶珊園5座,屏康里"
2.0/F低層D,2.0,低層,D,5533896.308327235,2792.0,636.0,285,3,NYL,"CURIO COURT(Block 5),PING HONG LANE|寶珊園5座,屏康里"
2.0/F中層D,2.0,中層,D,5533896.308327235,2792.0,636.0,285,3,NYL,"CURIO COURT(Block 5),PING HONG LANE|寶珊園5座,屏康里"
4.0/F高層D,4.0,高層,D,5589393.835774642,2820.0,636.0,281,3,NYL,"CURIO COURT(Block 5),PING HONG LANE|寶珊園5座,屏康里"
